charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Hearts of palm, canned
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 28.00, KCAL
"Fat", 0.62, G
"Protein", 2.52, G
"Carbohydrate", 4.62, G
"Folic acid", 0.00, UG
"Folate, DFE", 39.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Ash", 2.04, G
"Saturated fatty acids", 0.130, G
"Vitamin C", 7.9, MG
"Thiamin", 0.011, MG
"Riboflavin", 0.057, MG
"Folate", 39.00, UG
"Vitamin B12", 0.00, UG
"Fiber", 2.4, G
"Iron, Fe", 3.13, MG
"Magnesium, Mg", 38.00, MG
"Phosphorus, P", 65.00, MG
"Sodium, Na", 426.00, MG
"Copper, Cu", 0.133, MG
"Manganese, Mn", 1.394, MG
"Vitamin A", 0.00, IU
"Tryptophan", 0.023, G
"Threonine", 0.097, G
"Methionine", 0.042, G
"Phenylalanine", 0.098, G
"Tyrosine", 0.049, G
"Alanine", 0.111, G
"Glutamic acid", 0.296, G
"Glycine", 0.108, G
"Proline", 0.088, G
"Cholesterol", 0.00, MG
"Isoleucine", 0.101, G
"Leucine", 0.169, G
"Lysine", 0.091, G
"Cystine", 0.019, G
"Valine", 0.114, G
"Arginine", 0.178, G
"Histidine", 0.055, G
"Aspartic acid", 0.168, G
"Serine", 0.081, G
"Hexadecanoic acid", 0.114, G
"Octadecanoic acid", 0.016, G
"Octadecenoic acid", 0.103, G
"Octadecadienoic acid", 0.183, G
"Octadecatrienoic acid", 0.019, G
"Monounsaturated fatty acids", 0.103, G
"Polyunsaturated fatty acids", 0.202, G
"Water", 90.20, G
"Calcium, Ca", 58.00, MG
"Potassium, K", 177.00, MG
"Zinc, Zn", 1.15, MG
"Niacin", 0.437, MG
"Pantothenic acid", 0.126, MG
"Vitamin B6", 0.022, MG
"Vitamin D", 0.00, UG
"Folate, food", 39.00, UG
"Selenium, Se", 0.7, UG
# Downloaded from https://www.nutritionvalue.org 
