charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Honey
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 304.00, KCAL
"Fat", 0.00, G
"Protein", 0.30, G
"Carbohydrate", 82.40, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Alcohol, ethyl", 0.0, G
"Saturated fatty acids", 0.000, G
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E", 0.00, MG
"Retinol", 0.00, UG
"Ash", 0.20, G
"Fiber", 0.2, G
"Iron, Fe", 0.42, MG
"Magnesium, Mg", 2.00, MG
"Phosphorus, P", 4.00, MG
"Sodium, Na", 4.00, MG
"Copper, Cu", 0.036, MG
"Manganese, Mn", 0.080, MG
"Vitamin A", 0.00, IU
"Vitamin C", 0.5, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.038, MG
"Folate", 2.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.004, G
"Threonine", 0.004, G
"Methionine", 0.001, G
"Phenylalanine", 0.011, G
"Tyrosine", 0.008, G
"Alanine", 0.006, G
"Glutamic acid", 0.018, G
"Glycine", 0.007, G
"Proline", 0.090, G
"Cholesterol", 0.00, MG
"Water", 17.10, G
"Calcium, Ca", 6.00, MG
"Potassium, K", 52.00, MG
"Zinc, Zn", 0.22, MG
"Niacin", 0.121, MG
"Pantothenic acid", 0.068, MG
"Vitamin B6", 0.024, MG
"Isoleucine", 0.008, G
"Leucine", 0.010, G
"Lysine", 0.008, G
"Cystine", 0.003, G
"Valine", 0.009, G
"Arginine", 0.005, G
"Histidine", 0.001, G
"Aspartic acid", 0.027, G
"Serine", 0.006, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 82.12, G
"Sucrose", 0.89, G
"Glucose (dextrose)", 35.75, G
"Maltose", 1.44, G
"Vitamin K", 0.0, UG
"Galactose", 3.10, G
"Fructose", 40.94, G
"Vitamin D", 0.00, UG
"Selenium, Se", 0.8, UG
"Vitamin A, RAE", 0.00, UG
"Folate, food", 2.00, UG
"Fluoride, F", 7.0, UG
"Folate, DFE", 2.00, UG
"Betaine", 1.7, MG
"Choline", 2.2, MG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
