charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Ice cream, chocolate, soft serve
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 222.00, KCAL
"Fat", 13.00, G
"Protein", 4.10, G
"Carbohydrate", 22.20, G
"Vitamin D", 0.70, UG
"Water", 59.80, G
"Caffeine", 2.00, MG
"Theobromine", 69.00, MG
"Sugars", 21.16, G
"Calcium, Ca", 131.00, MG
"Potassium, K", 177.00, MG
"Zinc, Zn", 0.52, MG
"Selenium, Se", 3.0, UG
"Vitamin E", 0.61, MG
"Vitamin D (D2 + D3), International Units", 29.00, IU
"Lutein + zeaxanthin", 151.00, UG
"Niacin", 0.095, MG
"Pantothenic acid", 0.506, MG
"Vitamin B6", 0.048, MG
"Choline", 26.0, MG
"Folic acid", 0.00, UG
"Folate, DFE", 9.00, UG
"Isoleucine", 0.215, G
"Leucine", 0.353, G
"Lysine", 0.296, G
"Cystine", 0.036, G
"Valine", 0.241, G
"Arginine", 0.172, G
"Histidine", 0.099, G
"Aspartic acid", 0.300, G
"Serine", 0.216, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.390, G
"Hexanoic acid", 0.230, G
"Decanoic acid", 0.300, G
"Hexadecanoic acid", 3.360, G
"Octadecanoic acid", 1.470, G
"Octadecenoic acid", 3.220, G
"Octadecadienoic acid", 0.280, G
"Octadecatrienoic acid", 0.180, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 3.490, G
"Polyunsaturated fatty acids", 0.460, G
"Ash", 0.90, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.7, G
"Iron, Fe", 0.21, MG
"Magnesium, Mg", 12.00, MG
"Phosphorus, P", 116.00, MG
"Sodium, Na", 61.00, MG
"Copper, Cu", 0.030, MG
"Manganese, Mn", 0.005, MG
"Vitamin A", 589.00, IU
"Retinol", 159.00, UG
"Vitamin A, RAE", 162.00, UG
"Carotene, beta", 30.00, UG
"Carotene, alpha", 5.00, UG
"Vitamin D3", 0.70, UG
"Cryptoxanthin, beta", 5.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.8, MG
"Thiamin", 0.049, MG
"Riboflavin", 0.182, MG
"Folate", 9.00, UG
"Vitamin B12", 0.50, UG
"Vitamin K", 0.9, UG
"Folate, food", 9.00, UG
"Tryptophan", 0.048, G
"Threonine", 0.169, G
"Methionine", 0.091, G
"Phenylalanine", 0.176, G
"Tyrosine", 0.170, G
"Alanine", 0.164, G
"Glutamic acid", 0.745, G
"Glycine", 0.163, G
"Proline", 0.374, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 91.00, MG
"Saturated fatty acids", 7.460, G
"Octanoic acid", 0.130, G
"Dodecanoic acid", 0.340, G
"Tetradecanoic acid", 1.240, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.270, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Tocopherol, alpha", 0.61, MG
# Downloaded from https://www.nutritionvalue.org 
