charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Ice creams, rich, chocolate
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 251.00, KCAL
"Fat", 16.98, G
"Protein", 4.72, G
"Carbohydrate", 19.78, G
"Retinol", 198.00, UG
"Carotene, beta", 31.00, UG
"Carotene, alpha", 0.00, UG
"Fiber", 0.9, G
"Iron, Fe", 1.02, MG
"Magnesium, Mg", 32.00, MG
"Phosphorus, P", 115.00, MG
"Sodium, Na", 57.00, MG
"Copper, Cu", 0.175, MG
"Manganese, Mn", 0.173, MG
"Ash", 1.00, G
"Alcohol, ethyl", 0.0, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.5, MG
"Thiamin", 0.030, MG
"Riboflavin", 0.167, MG
"Folate", 5.00, UG
"Vitamin B12", 0.18, UG
"Vitamin K", 1.5, UG
"Folate, food", 5.00, UG
"Cholesterol", 60.00, MG
"Saturated fatty acids", 10.377, G
"Octanoic acid", 0.188, G
"Dodecanoic acid", 0.450, G
"Tetradecanoic acid", 1.619, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.361, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Caffeine", 4.00, MG
"Theobromine", 120.00, MG
"Calcium, Ca", 142.00, MG
"Potassium, K", 238.00, MG
"Zinc, Zn", 0.64, MG
"Selenium, Se", 2.1, UG
"Vitamin E", 0.46, MG
"Butanoic acid", 0.517, G
"Hexanoic acid", 0.312, G
"Decanoic acid", 0.403, G
"Hexadecanoic acid", 4.406, G
"Octadecanoic acid", 2.138, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 4.433, G
"Octadecadienoic acid", 0.409, G
"Octadecatrienoic acid", 0.250, G
"Lutein + zeaxanthin", 2.00, UG
"Niacin", 0.182, MG
"Pantothenic acid", 0.336, MG
"Vitamin B6", 0.033, MG
"Folic acid", 0.00, UG
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 4.794, G
"Polyunsaturated fatty acids", 0.658, G
"Pentadecanoic acid", 0.000, G
"Tridecanoic acid", 0.000, G
"Vitamin A, RAE", 201.00, UG
"Vitamin D3", 0.30, UG
"Vitamin D", 0.30, UG
"Vitamin A", 713.00, IU
"Vitamin D (D2 + D3), International Units", 12.00, IU
"Sugars", 17.35, G
"Choline", 34.7, MG
"Water", 57.52, G
"Folate, DFE", 5.00, UG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Tocopherol, alpha", 0.46, MG
# Downloaded from https://www.nutritionvalue.org 
