charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Ice creams, strawberry
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 192.00, KCAL
"Fat", 8.40, G
"Protein", 3.20, G
"Carbohydrate", 27.60, G
"Saturated fatty acids", 5.190, G
"Folic acid", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Folate, DFE", 12.00, UG
"Selenium, Se", 1.9, UG
"Niacin", 0.170, MG
"Pantothenic acid", 0.720, MG
"Vitamin B6", 0.050, MG
"Vitamin A", 320.00, IU
"Retinol", 96.00, UG
"Vitamin A, RAE", 96.00, UG
"Vitamin C", 7.7, MG
"Thiamin", 0.045, MG
"Riboflavin", 0.255, MG
"Folate", 12.00, UG
"Vitamin B12", 0.30, UG
"Folate, food", 12.00, UG
"Cholesterol", 29.00, MG
"Phosphorus, P", 100.00, MG
"Fiber", 0.9, G
"Ash", 0.70, G
"Lactose", 4.43, G
"Alcohol, ethyl", 0.0, G
"Copper, Cu", 0.037, MG
"Calcium, Ca", 120.00, MG
"Potassium, K", 188.00, MG
"Zinc, Zn", 0.34, MG
"Water", 60.00, G
"Sodium, Na", 60.00, MG
"Iron, Fe", 0.21, MG
"Magnesium, Mg", 14.00, MG
"Manganese, Mn", 0.078, MG
# Downloaded from https://www.nutritionvalue.org 
