charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Ice creams, vanilla
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 207.00, KCAL
"Fat", 11.00, G
"Protein", 3.50, G
"Carbohydrate", 23.60, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Selenium, Se", 1.8, UG
"Folic acid", 0.00, UG
"Fiber", 0.7, G
"Carotene, beta", 19.00, UG
"Carotene, alpha", 0.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Folate", 5.00, UG
"Vitamin K", 0.3, UG
"Tryptophan", 0.045, G
"Threonine", 0.146, G
"Methionine", 0.081, G
"Phenylalanine", 0.157, G
"Tyrosine", 0.155, G
"Alanine", 0.121, G
"Glutamic acid", 0.681, G
"Glycine", 0.093, G
"Proline", 0.326, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Lutein + zeaxanthin", 0.00, UG
"Isoleucine", 0.195, G
"Leucine", 0.316, G
"Lysine", 0.258, G
"Cystine", 0.029, G
"Valine", 0.217, G
"Arginine", 0.125, G
"Histidine", 0.088, G
"Aspartic acid", 0.250, G
"Serine", 0.177, G
"Eicosanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Pentadecanoic acid", 0.000, G
"Tridecanoic acid", 0.000, G
"Monounsaturated fatty acids", 2.969, G
"Polyunsaturated fatty acids", 0.452, G
"Octadecenoic acid", 2.763, G
"Octadecadienoic acid", 0.275, G
"Octadecatrienoic acid", 0.175, G
"Vitamin E, added", 0.00, MG
"Octadecanoic acid", 1.316, G
"Sugars", 21.22, G
"Vitamin E", 0.30, MG
"Fluoride, F", 15.4, UG
"Choline", 26.0, MG
"Hexadecenoic acid", 0.206, G
"Vitamin B12, added", 0.00, UG
"Folate, food", 5.00, UG
"Vitamin A", 421.00, IU
"Retinol", 116.00, UG
"Vitamin D3", 0.20, UG
"Vitamin D", 0.20, UG
"Vitamin D (D2 + D3), International Units", 8.00, IU
"Alcohol, ethyl", 0.0, G
"Folate, DFE", 5.00, UG
"Vitamin A, RAE", 118.00, UG
"Water", 61.00, G
"Calcium, Ca", 128.00, MG
"Potassium, K", 199.00, MG
"Zinc, Zn", 0.69, MG
"Niacin", 0.116, MG
"Pantothenic acid", 0.581, MG
"Vitamin B6", 0.048, MG
"Butanoic acid", 0.360, G
"Hexanoic acid", 0.210, G
"Decanoic acid", 0.280, G
"Hexadecanoic acid", 3.060, G
"Ash", 0.90, G
"Iron, Fe", 0.09, MG
"Magnesium, Mg", 14.00, MG
"Phosphorus, P", 105.00, MG
"Sodium, Na", 80.00, MG
"Copper, Cu", 0.023, MG
"Manganese, Mn", 0.008, MG
"Vitamin B12", 0.39, UG
"Vitamin C", 0.6, MG
"Thiamin", 0.041, MG
"Riboflavin", 0.240, MG
"Cholesterol", 44.00, MG
"Saturated fatty acids", 6.790, G
"Octanoic acid", 0.120, G
"Dodecanoic acid", 0.310, G
"Tetradecanoic acid", 1.130, G
"Tocopherol, alpha", 0.30, MG
# Downloaded from https://www.nutritionvalue.org 
