charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Jams and preserves
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 278.00, KCAL
"Fat", 0.07, G
"Protein", 0.37, G
"Carbohydrate", 68.86, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Folic acid", 0.00, UG
"Phosphorus, P", 19.00, MG
"Retinol", 0.00, UG
"Thiamin", 0.016, MG
"Riboflavin", 0.076, MG
"Folate", 11.00, UG
"Folate, food", 11.00, UG
"Cholesterol", 0.00, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Sodium, Na", 32.00, MG
"Ash", 0.23, G
"Octadecenoic acid", 0.007, G
"Eicosenoic acid", 0.018, G
"Docosenoic acid", 0.014, G
"Monounsaturated fatty acids", 0.038, G
"Hexadecanoic acid", 0.004, G
"Water", 30.47, G
"Fluoride, F", 19.0, UG
"Choline", 10.2, MG
"Alcohol, ethyl", 0.0, G
"Vitamin A", 0.00, IU
"Vitamin A, RAE", 0.00, UG
"Sugars", 48.50, G
"Folate, DFE", 11.00, UG
"Octadecanoic acid", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Isoleucine", 0.017, G
"Leucine", 0.037, G
"Lysine", 0.030, G
"Cystine", 0.006, G
"Valine", 0.021, G
"Arginine", 0.032, G
"Histidine", 0.014, G
"Aspartic acid", 0.166, G
"Serine", 0.028, G
"Calcium, Ca", 20.00, MG
"Potassium, K", 77.00, MG
"Zinc, Zn", 0.06, MG
"Niacin", 0.036, MG
"Pantothenic acid", 0.020, MG
"Vitamin B6", 0.020, MG
"Saturated fatty acids", 0.010, G
"Phenylalanine", 0.021, G
"Tyrosine", 0.025, G
"Alanine", 0.037, G
"Glutamic acid", 0.109, G
"Glycine", 0.029, G
"Proline", 0.023, G
"Hexadecenoic acid", 0.000, G
"Vitamin C", 8.8, MG
"Tryptophan", 0.008, G
"Threonine", 0.023, G
"Methionine", 0.001, G
"Vitamin B12", 0.00, UG
"Copper, Cu", 0.100, MG
"Manganese, Mn", 0.040, MG
"Fiber", 1.1, G
"Iron, Fe", 0.49, MG
"Magnesium, Mg", 4.00, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.0, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Phytosterols", 12.00, MG
"Vitamin E", 0.12, MG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 2.0, UG
"Tocopherol, alpha", 0.12, MG
# Downloaded from https://www.nutritionvalue.org 
