charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Jams, reduced sugar, marmalade, preserves
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 151.00, KCAL
"Fat", 0.10, G
"Protein", 0.00, G
"Carbohydrate", 37.60, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.004, G
"Octadecanoic acid", 0.001, G
"Octadecenoic acid", 0.014, G
"Octadecadienoic acid", 0.029, G
"Octadecatrienoic acid", 0.021, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.014, G
"Polyunsaturated fatty acids", 0.050, G
"Saturated fatty acids", 0.005, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 29.41, G
"Calcium, Ca", 0.00, MG
"Fluoride, F", 3.3, UG
"Selenium, Se", 0.4, UG
"Vitamin E", 0.21, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Lutein + zeaxanthin", 20.00, UG
"Pantothenic acid", 0.092, MG
"Choline", 4.2, MG
"Folic acid", 0.00, UG
"Folate, DFE", 18.00, UG
"Vitamin E, added", 0.00, MG
"Ash", 0.30, G
"Folate", 18.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 1.6, UG
"Folate, food", 18.00, UG
"Vitamin B12, added", 0.00, UG
"Fiber", 1.5, G
"Iron, Fe", 0.00, MG
"Sodium, Na", 0.00, MG
"Copper, Cu", 0.038, MG
"Manganese, Mn", 0.288, MG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 5.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin C", 15.0, MG
"Thiamin", 0.010, MG
"Riboflavin", 0.020, MG
"Vitamin A", 9.00, IU
"Magnesium, Mg", 4.00, MG
"Phosphorus, P", 7.00, MG
"Vitamin B6", 0.020, MG
"Water", 62.00, G
"Niacin", 0.080, MG
"Potassium, K", 59.00, MG
"Zinc, Zn", 0.05, MG
"Tocopherol, alpha", 0.21, MG
# Downloaded from https://www.nutritionvalue.org 
