charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Jams, sweetened with fruit juice, marmalades, preserves
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 212.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 52.93, G
"Copper, Cu", 0.031, MG
"Manganese, Mn", 0.158, MG
"Vitamin A", 20.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 1.00, UG
"Carotene, beta", 12.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Vitamin C", 18.1, MG
"Thiamin", 0.028, MG
"Riboflavin", 0.022, MG
"Folate", 7.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K", 1.0, UG
"Folate, food", 7.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Ash", 0.23, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.9, G
"Iron, Fe", 0.34, MG
"Magnesium, Mg", 5.00, MG
"Phosphorus, P", 6.00, MG
"Calcium, Ca", 11.00, MG
"Potassium, K", 65.00, MG
"Zinc, Zn", 0.20, MG
"Fluoride, F", 1.1, UG
"Selenium, Se", 0.8, UG
"Vitamin E", 0.13, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Lutein + zeaxanthin", 12.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.203, MG
"Pantothenic acid", 0.051, MG
"Vitamin B6", 0.012, MG
"Choline", 2.5, MG
"Folic acid", 0.00, UG
"Folate, DFE", 7.00, UG
"Betaine", 0.0, MG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Pentadecanoic acid", 0.000, G
"Water", 46.84, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 42.00, G
"Sodium, Na", 0.00, MG
"Tocopherol, alpha", 0.13, MG
# Downloaded from https://www.nutritionvalue.org 
