charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Kale, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 35.00, KCAL
"Fat", 1.49, G
"Protein", 2.92, G
"Carbohydrate", 4.42, G
"Folic acid", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Retinol", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Glutamic acid", 0.331, G
"Glycine", 0.141, G
"Proline", 0.174, G
"Vitamin B12, added", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.178, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.006, G
"Tetradecanoic acid", 0.006, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Cryptoxanthin, beta", 27.00, UG
"Vitamin A, RAE", 241.00, UG
"Carotene, beta", 2873.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 389.6, UG
"Folate, food", 62.00, UG
"Tryptophan", 0.035, G
"Threonine", 0.131, G
"Methionine", 0.029, G
"Phenylalanine", 0.150, G
"Tyrosine", 0.103, G
"Alanine", 0.147, G
"Ash", 1.54, G
"Fructose", 0.41, G
"Lactose", 0.00, G
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 93.4, MG
"Thiamin", 0.113, MG
"Riboflavin", 0.347, MG
"Folate", 62.00, UG
"Galactose", 0.00, G
"Fiber", 4.1, G
"Iron, Fe", 1.60, MG
"Magnesium, Mg", 33.00, MG
"Phosphorus, P", 55.00, MG
"Sodium, Na", 53.00, MG
"Copper, Cu", 0.053, MG
"Manganese, Mn", 0.920, MG
"Vitamin A", 4812.00, IU
"Aspartic acid", 0.262, G
"Serine", 0.123, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.158, G
"Octadecanoic acid", 0.006, G
"Octadecenoic acid", 0.104, G
"Octadecadienoic acid", 0.291, G
"Octadecatrienoic acid", 0.378, G
"Eicosatetraenoic acid", 0.003, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.104, G
"Polyunsaturated fatty acids", 0.673, G
"Sucrose", 0.18, G
"Glucose (dextrose)", 0.40, G
"Maltose", 0.00, G
"Water", 89.63, G
"Vitamin E", 0.66, MG
"Sugars", 0.99, G
"Calcium, Ca", 254.00, MG
"Potassium, K", 348.00, MG
"Zinc, Zn", 0.39, MG
"Lutein + zeaxanthin", 6261.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.14, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 1.180, MG
"Pantothenic acid", 0.370, MG
"Vitamin B6", 0.147, MG
"Choline", 0.5, MG
"Vitamin K (Menaquinone-4)", 0.00, UG
"Folate, DFE", 62.00, UG
"Betaine", 0.3, MG
"Isoleucine", 0.175, G
"Leucine", 0.205, G
"Lysine", 0.175, G
"Cystine", 0.038, G
"Valine", 0.159, G
"Arginine", 0.163, G
"Histidine", 0.172, G
"Vitamin D", 0.00, UG
"Selenium, Se", 0.9, UG
"Tocopherol, alpha", 0.66, MG
# Downloaded from https://www.nutritionvalue.org 
