charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Kale, unprepared, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 28.00, KCAL
"Fat", 0.46, G
"Protein", 2.66, G
"Carbohydrate", 4.88, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Folate, DFE", 17.00, UG
"Retinol", 0.00, UG
"Fiber", 2.0, G
"Iron, Fe", 0.93, MG
"Magnesium, Mg", 18.00, MG
"Phosphorus, P", 29.00, MG
"Sodium, Na", 15.00, MG
"Copper, Cu", 0.046, MG
"Manganese, Mn", 0.443, MG
"Ash", 0.88, G
"Tryptophan", 0.032, G
"Threonine", 0.119, G
"Methionine", 0.026, G
"Phenylalanine", 0.136, G
"Tyrosine", 0.094, G
"Alanine", 0.134, G
"Glutamic acid", 0.301, G
"Glycine", 0.128, G
"Proline", 0.158, G
"Vitamin C", 39.3, MG
"Thiamin", 0.056, MG
"Riboflavin", 0.112, MG
"Folate", 17.00, UG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Hexadecenoic acid", 0.000, G
"Saturated fatty acids", 0.059, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.002, G
"Tetradecanoic acid", 0.002, G
"Isoleucine", 0.159, G
"Leucine", 0.186, G
"Lysine", 0.159, G
"Cystine", 0.035, G
"Valine", 0.145, G
"Arginine", 0.148, G
"Histidine", 0.056, G
"Aspartic acid", 0.238, G
"Serine", 0.112, G
"Calcium, Ca", 136.00, MG
"Potassium, K", 333.00, MG
"Zinc, Zn", 0.18, MG
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.049, G
"Octadecanoic acid", 0.002, G
"Octadecenoic acid", 0.032, G
"Octadecadienoic acid", 0.090, G
"Octadecatrienoic acid", 0.117, G
"Eicosatetraenoic acid", 0.001, G
"Niacin", 0.698, MG
"Pantothenic acid", 0.052, MG
"Vitamin B6", 0.090, MG
"Water", 91.12, G
"Monounsaturated fatty acids", 0.034, G
"Polyunsaturated fatty acids", 0.219, G
"Vitamin B12, added", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Folate, food", 17.00, UG
"Selenium, Se", 0.9, UG
"Vitamin A", 4120.00, IU
"Vitamin A, RAE", 206.00, UG
"Carotene, beta", 2460.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 23.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 333.6, UG
"Sugars", 0.85, G
"Choline", 0.4, MG
"Vitamin E", 0.57, MG
"Lutein + zeaxanthin", 5360.00, UG
"Tocopherol, alpha", 0.57, MG
# Downloaded from https://www.nutritionvalue.org 
