charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Lamb, broiled, cooked, ground
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 283.00, KCAL
"Fat", 19.65, G
"Protein", 24.75, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Retinol", 0.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 5.3, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D3", 0.10, UG
"Vitamin D", 0.10, UG
"Vitamin D (D2 + D3), International Units", 2.00, IU
"Folate, DFE", 19.00, UG
"Vitamin C", 0.0, MG
"Hexadecenoic acid", 0.570, G
"Thiamin", 0.100, MG
"Riboflavin", 0.250, MG
"Folate", 19.00, UG
"Vitamin B12", 2.61, UG
"Dodecanoic acid", 0.080, G
"Tetradecanoic acid", 0.750, G
"Cholesterol", 97.00, MG
"Saturated fatty acids", 8.120, G
"Tryptophan", 0.289, G
"Threonine", 1.059, G
"Methionine", 0.635, G
"Phenylalanine", 1.008, G
"Tyrosine", 0.832, G
"Alanine", 1.488, G
"Glutamic acid", 3.591, G
"Glycine", 1.209, G
"Proline", 1.038, G
"Ash", 1.14, G
"Fiber", 0.0, G
"Iron, Fe", 1.79, MG
"Magnesium, Mg", 24.00, MG
"Phosphorus, P", 201.00, MG
"Sodium, Na", 81.00, MG
"Copper, Cu", 0.128, MG
"Manganese, Mn", 0.024, MG
"Vitamin A", 0.00, IU
"Vitamin E", 0.14, MG
"Niacin", 6.700, MG
"Pantothenic acid", 0.660, MG
"Vitamin B6", 0.140, MG
"Calcium, Ca", 22.00, MG
"Potassium, K", 339.00, MG
"Zinc, Zn", 4.67, MG
"Water", 55.09, G
"Decanoic acid", 0.050, G
"Hexadecanoic acid", 4.150, G
"Octadecanoic acid", 2.630, G
"Octadecenoic acid", 7.570, G
"Octadecadienoic acid", 1.070, G
"Octadecatrienoic acid", 0.260, G
"Eicosatetraenoic acid", 0.070, G
"Isoleucine", 1.194, G
"Leucine", 1.925, G
"Lysine", 2.186, G
"Cystine", 0.295, G
"Valine", 1.335, G
"Arginine", 1.470, G
"Histidine", 0.784, G
"Aspartic acid", 2.178, G
"Serine", 0.920, G
"Monounsaturated fatty acids", 8.320, G
"Polyunsaturated fatty acids", 1.400, G
"Selenium, Se", 27.7, UG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Folate, food", 19.00, UG
"Vitamin A, RAE", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Choline", 93.4, MG
"Betaine", 12.3, MG
"Tocopherol, alpha", 0.14, MG
# Downloaded from https://www.nutritionvalue.org 
