charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Lamb, raw, ground
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 282.00, KCAL
"Fat", 23.41, G
"Protein", 16.56, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Retinol", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 3.6, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Folate, DFE", 18.00, UG
"Vitamin D (D2 + D3), International Units", 2.00, IU
"Vitamin D3", 0.10, UG
"Vitamin D", 0.10, UG
"Water", 59.47, G
"Vitamin E", 0.20, MG
"Monounsaturated fatty acids", 9.600, G
"Polyunsaturated fatty acids", 1.850, G
"Decanoic acid", 0.060, G
"Hexadecanoic acid", 5.130, G
"Octadecanoic acid", 3.220, G
"Octadecenoic acid", 8.620, G
"Octadecadienoic acid", 1.360, G
"Octadecatrienoic acid", 0.420, G
"Eicosatetraenoic acid", 0.080, G
"Niacin", 5.960, MG
"Pantothenic acid", 0.650, MG
"Vitamin B6", 0.130, MG
"Calcium, Ca", 16.00, MG
"Potassium, K", 222.00, MG
"Zinc, Zn", 3.41, MG
"Isoleucine", 0.799, G
"Leucine", 1.288, G
"Lysine", 1.462, G
"Cystine", 0.198, G
"Valine", 0.893, G
"Arginine", 0.984, G
"Histidine", 0.524, G
"Aspartic acid", 1.457, G
"Serine", 0.615, G
"Ash", 0.87, G
"Fiber", 0.0, G
"Iron, Fe", 1.55, MG
"Magnesium, Mg", 21.00, MG
"Phosphorus, P", 157.00, MG
"Sodium, Na", 59.00, MG
"Copper, Cu", 0.101, MG
"Manganese, Mn", 0.019, MG
"Vitamin A", 0.00, IU
"Hexadecenoic acid", 0.680, G
"Thiamin", 0.110, MG
"Riboflavin", 0.210, MG
"Folate", 18.00, UG
"Vitamin B12", 2.31, UG
"Dodecanoic acid", 0.100, G
"Tetradecanoic acid", 0.930, G
"Cholesterol", 73.00, MG
"Saturated fatty acids", 10.190, G
"Tryptophan", 0.193, G
"Threonine", 0.709, G
"Methionine", 0.425, G
"Phenylalanine", 0.674, G
"Tyrosine", 0.556, G
"Alanine", 0.996, G
"Glutamic acid", 2.402, G
"Glycine", 0.809, G
"Proline", 0.694, G
"Vitamin C", 0.0, MG
"Selenium, Se", 18.8, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Choline", 69.3, MG
"Betaine", 10.2, MG
"Alcohol, ethyl", 0.0, G
"Folate, food", 18.00, UG
"Vitamin A, RAE", 0.00, UG
"Tocopherol, alpha", 0.20, MG
# Downloaded from https://www.nutritionvalue.org 
