charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Lard
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 902.00, KCAL
"Fat", 100.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.0, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Vitamin E", 0.60, MG
"Choline", 49.7, MG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin A", 0.00, IU
"Vitamin D3", 2.50, UG
"Vitamin D", 2.50, UG
"Folate, food", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Vitamin D (D2 + D3), International Units", 102.00, IU
"Folate, DFE", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Copper, Cu", 0.000, MG
"Ash", 0.00, G
"Manganese, Mn", 0.000, MG
"Fiber", 0.0, G
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.000, G
"Glutamic acid", 0.000, G
"Glycine", 0.000, G
"Proline", 0.000, G
"Cholesterol", 95.00, MG
"Saturated fatty acids", 39.200, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.200, G
"Tetradecanoic acid", 1.300, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 2.700, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 0.00, MG
"Water", 0.00, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 0.00, MG
"Zinc, Zn", 0.11, MG
"Isoleucine", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.000, G
"Serine", 0.000, G
"Niacin", 0.000, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.100, G
"Hexadecanoic acid", 23.800, G
"Octadecanoic acid", 13.500, G
"Octadecenoic acid", 41.200, G
"Octadecadienoic acid", 10.200, G
"Octadecatrienoic acid", 1.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 1.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 45.100, G
"Polyunsaturated fatty acids", 11.200, G
"Retinol", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Selenium, Se", 0.2, UG
"Tocopherol, alpha", 0.60, MG
# Downloaded from https://www.nutritionvalue.org 
