charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Limes, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 30.00, KCAL
"Fat", 0.20, G
"Protein", 0.70, G
"Carbohydrate", 10.54, G
"Folic acid", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 0.200, MG
"Pantothenic acid", 0.217, MG
"Vitamin B6", 0.043, MG
"Sugars", 1.69, G
"Calcium, Ca", 33.00, MG
"Potassium, K", 102.00, MG
"Zinc, Zn", 0.11, MG
"Selenium, Se", 0.4, UG
"Vitamin E", 0.22, MG
"Water", 88.26, G
"Hexadecanoic acid", 0.020, G
"Octadecanoic acid", 0.001, G
"Octadecenoic acid", 0.016, G
"Octadecadienoic acid", 0.036, G
"Octadecatrienoic acid", 0.019, G
"Monounsaturated fatty acids", 0.019, G
"Polyunsaturated fatty acids", 0.055, G
"Ash", 0.30, G
"Vitamin A, RAE", 2.00, UG
"Carotene, beta", 30.00, UG
"Carotene, alpha", 0.00, UG
"Iron, Fe", 0.60, MG
"Magnesium, Mg", 6.00, MG
"Phosphorus, P", 18.00, MG
"Sodium, Na", 2.00, MG
"Copper, Cu", 0.065, MG
"Manganese, Mn", 0.008, MG
"Vitamin A", 50.00, IU
"Hexadecenoic acid", 0.003, G
"Saturated fatty acids", 0.022, G
"Tetradecanoic acid", 0.001, G
"Vitamin K", 0.6, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 29.1, MG
"Thiamin", 0.030, MG
"Riboflavin", 0.020, MG
"Folate", 8.00, UG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Lysine", 0.014, G
"Cholesterol", 0.00, MG
"Tryptophan", 0.003, G
"Methionine", 0.002, G
"Fiber", 2.8, G
"Vitamin B12", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Folate, DFE", 8.00, UG
"Choline", 5.1, MG
"Folate, food", 8.00, UG
"Tocopherol, alpha", 0.22, MG
# Downloaded from https://www.nutritionvalue.org 
