charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Luncheon meat, includes Spam (Hormel), canned, minced, pork with ham
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 315.00, KCAL
"Fat", 26.60, G
"Protein", 13.40, G
"Carbohydrate", 4.60, G
"Choline", 68.5, MG
"Betaine", 6.7, MG
"Decanoic acid", 0.024, G
"Hexadecanoic acid", 6.211, G
"Octadecanoic acid", 3.374, G
"Octadecenoic acid", 12.434, G
"Octadecadienoic acid", 1.891, G
"Octadecatrienoic acid", 0.076, G
"Eicosatetraenoic acid", 0.052, G
"Eicosenoic acid", 0.219, G
"Dodecanoic acid", 0.024, G
"Tetradecanoic acid", 0.354, G
"Hexadecenoic acid", 0.852, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Vitamin E", 0.42, MG
"Folic acid", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Retinol", 0.00, UG
"Vitamin K", 0.0, UG
"Vitamin C", 0.0, MG
"Fiber", 0.0, G
"Alcohol, ethyl", 0.0, G
"Calcium, Ca", 0.00, MG
"Vitamin D (D2 + D3), International Units", 26.00, IU
"Folate, DFE", 3.00, UG
"Monounsaturated fatty acids", 13.505, G
"Polyunsaturated fatty acids", 2.019, G
"Vitamin D3", 0.60, UG
"Vitamin D", 0.60, UG
"Folate, food", 3.00, UG
"Saturated fatty acids", 9.987, G
"Ash", 3.70, G
"Thiamin", 0.317, MG
"Riboflavin", 0.176, MG
"Folate", 3.00, UG
"Vitamin B12", 0.45, UG
"Copper, Cu", 0.051, MG
"Vitamin A", 0.00, IU
"Iron, Fe", 0.64, MG
"Magnesium, Mg", 14.00, MG
"Phosphorus, P", 151.00, MG
"Octanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Vitamin A, RAE", 0.00, UG
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Cholesterol", 71.00, MG
"Water", 51.70, G
"Potassium, K", 409.00, MG
"Zinc, Zn", 1.59, MG
"Selenium, Se", 22.9, UG
"Niacin", 3.530, MG
"Vitamin B6", 0.218, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Sodium, Na", 1411.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Tocopherol, alpha", 0.42, MG
# Downloaded from https://www.nutritionvalue.org 
