charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Mango nectar, canned
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 51.00, KCAL
"Fat", 0.06, G
"Protein", 0.11, G
"Carbohydrate", 13.12, G
"Betaine", 0.0, MG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.011, G
"Octadecanoic acid", 0.001, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Selenium, Se", 0.4, UG
"Octadecenoic acid", 0.012, G
"Octadecadienoic acid", 0.003, G
"Octadecatrienoic acid", 0.008, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.022, G
"Polyunsaturated fatty acids", 0.011, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.010, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.014, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.002, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin D", 0.00, UG
"Sucrose", 1.02, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.02, MG
"Tocotrienol, alpha", 0.02, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.080, MG
"Pantothenic acid", 0.070, MG
"Vitamin B6", 0.015, MG
"Vitamin K (Menaquinone-4)", 0.00, UG
"Vitamin E", 0.21, MG
"Sugars", 12.45, G
"Calcium, Ca", 17.00, MG
"Potassium, K", 24.00, MG
"Zinc, Zn", 0.02, MG
"Glucose (dextrose)", 5.31, G
"Maltose", 0.56, G
"Water", 86.63, G
"Ash", 0.08, G
"Starch", 0.00, G
"Fructose", 5.56, G
"Lactose", 0.00, G
"Vitamin A, RAE", 35.00, UG
"Carotene, beta", 402.00, UG
"Carotene, alpha", 0.00, UG
"Galactose", 0.00, G
"Fiber", 0.3, G
"Iron, Fe", 0.36, MG
"Magnesium, Mg", 3.00, MG
"Phosphorus, P", 2.00, MG
"Sodium, Na", 5.00, MG
"Copper, Cu", 0.015, MG
"Manganese, Mn", 0.028, MG
"Vitamin A", 692.00, IU
"Cryptoxanthin, beta", 26.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.8, UG
"Folate, food", 7.00, UG
"Thiamin", 0.003, MG
"Riboflavin", 0.003, MG
"Folate", 7.00, UG
"Fatty acids, total trans", 0.000, G
"Choline", 1.5, MG
"Lutein + zeaxanthin", 0.00, UG
"Vitamin C", 15.2, MG
"Folic acid", 0.00, UG
"Folate, DFE", 7.00, UG
"Tocopherol, alpha", 0.21, MG
# Downloaded from https://www.nutritionvalue.org 
