charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Margarine Spread, tub, 40-49% fat
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 401.00, KCAL
"Fat", 44.46, G
"Protein", 0.27, G
"Carbohydrate", 0.00, G
"Selenium, Se", 0.0, UG
"Vitamin E", 3.94, MG
"Magnesium, Mg", 1.00, MG
"Phosphorus, P", 4.00, MG
"Vitamin C", 0.0, MG
"Folic acid", 0.00, UG
"Eicosadienoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Fiber", 0.0, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Tetradecenoic acid", 0.000, G
"Trans-hexadecenoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Folate, DFE", 1.00, UG
"Butanoic acid", 0.006, G
"Hexanoic acid", 0.014, G
"Decanoic acid", 0.148, G
"Hexadecanoic acid", 6.285, G
"Octadecanoic acid", 1.979, G
"Eicosanoic acid", 0.136, G
"Octadecenoic acid", 10.132, G
"Octadecadienoic acid", 18.457, G
"Octadecatrienoic acid", 2.490, G
"Eicosatetraenoic acid", 0.016, G
"Eicosenoic acid", 0.155, G
"Docosenoic acid", 0.015, G
"Monounsaturated fatty acids", 10.351, G
"Polyunsaturated fatty acids", 20.974, G
"Pentadecanoic acid", 0.011, G
"Trans-octadecenoic acid", 0.475, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.087, G
"Octadecadienoic CLAs acid", 0.027, G
"Cis,cis-eicosadienoic n-6 acid", 0.013, G
"Cis-hexadecenoic acid", 0.033, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.104, G
"Fatty acids, total trans-polyenoic", 0.087, G
"Eicosadienoic n-6 acid", 0.000, G
"Vitamin D2", 0.00, UG
"Niacin", 0.004, MG
"Pantothenic acid", 0.030, MG
"Vitamin B6", 0.007, MG
"Water", 54.38, G
"Calcium, Ca", 2.00, MG
"Potassium, K", 17.00, MG
"Zinc, Zn", 0.02, MG
"Heptadecanoic acid", 0.039, G
"Tetracosanoic acid", 0.049, G
"Hexadecenoic acid", 0.034, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosanoic acid", 0.123, G
"Cis-octadecenoic acid", 9.657, G
"Cis,cis-octadecadienoic n-6 acid", 18.343, G
"Docosenoic cis acid", 0.015, G
"Heptadecenoic acid", 0.019, G
"Fatty acids, total trans-monoenoic", 0.475, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 2.39, G
"Eicosadienoic n-3 acid", 0.000, G
"Trans-octadecatrienoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Thiamin", 0.003, MG
"Riboflavin", 0.003, MG
"Folate", 1.00, UG
"Folate, food", 1.00, UG
"Fatty acids, total trans", 0.562, G
"Saturated fatty acids", 11.055, G
"Octanoic acid", 0.170, G
"Dodecanoic acid", 2.024, G
"Tetradecanoic acid", 0.607, G
"Iron, Fe", 0.06, MG
"Sodium, Na", 716.00, MG
"Copper, Cu", 0.009, MG
"Manganese, Mn", 0.005, MG
"Vitamin D3", 11.80, UG
"Vitamin D", 11.80, UG
"Ash", 1.82, G
"Tocopherol, alpha", 3.94, MG
# Downloaded from https://www.nutritionvalue.org 
