charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Margarine, tub, 35-39% fat,spread
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 349.00, KCAL
"Fat", 37.98, G
"Protein", 0.23, G
"Carbohydrate", 1.52, G
"Folic acid", 0.00, UG
"Eicosadienoic n-3 acid", 0.000, G
"Trans-hexadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Vitamin K", 74.6, UG
"Folate, food", 1.00, UG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Tetradecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Retinol", 1297.00, UG
"Magnesium, Mg", 1.00, MG
"Zinc, Zn", 0.02, MG
"Selenium, Se", 0.0, UG
"Vitamin E", 13.45, MG
"Calcium, Ca", 6.00, MG
"Octadecatetraenoic acid", 0.000, G
"Docosenoic trans acid", 0.000, G
"Folate, DFE", 1.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Choline", 12.4, MG
"Cholesterol", 0.00, MG
"Vitamin A, RAE", 1348.00, UG
"Vitamin B12", 0.06, UG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, alpha", 0.00, UG
"Niacin", 0.004, MG
"Pantothenic acid", 0.030, MG
"Vitamin B6", 0.384, MG
"Vitamin D2", 0.00, UG
"Butanoic acid", 0.007, G
"Hexanoic acid", 0.003, G
"Decanoic acid", 0.073, G
"Hexadecanoic acid", 5.752, G
"Octadecanoic acid", 1.528, G
"Eicosanoic acid", 0.137, G
"Octadecenoic acid", 10.946, G
"Octadecadienoic acid", 13.781, G
"Octadecatrienoic acid", 2.290, G
"Eicosatetraenoic acid", 0.013, G
"Potassium, K", 51.00, MG
"Eicosenoic acid", 0.182, G
"Docosenoic acid", 0.015, G
"Monounsaturated fatty acids", 11.192, G
"Polyunsaturated fatty acids", 16.090, G
"Pentadecanoic acid", 0.011, G
"Trans-octadecenoic acid", 0.028, G
"Trans-octadecadienoic acid", 0.052, G
"Octadecadienoic CLAs acid", 0.018, G
"Cis,cis-eicosadienoic n-6 acid", 0.012, G
"Cis-hexadecenoic acid", 0.038, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.089, G
"Eicosadienoic acid", 0.000, G
"Fatty acids, total trans-polyenoic", 0.052, G
"Eicosadienoic n-6 acid", 0.000, G
"Water", 58.67, G
"Ash", 1.60, G
"Starch", 1.97, G
"Fiber", 0.0, G
"Iron, Fe", 0.04, MG
"Phosphorus, P", 7.00, MG
"Sodium, Na", 584.00, MG
"Copper, Cu", 0.009, MG
"Manganese, Mn", 0.005, MG
"Vitamin A", 5339.00, IU
"Vitamin D3", 17.50, UG
"Vitamin D", 17.50, UG
"Fatty acids, total trans", 0.079, G
"Saturated fatty acids", 8.656, G
"Octanoic acid", 0.047, G
"Dodecanoic acid", 0.692, G
"Tetradecanoic acid", 0.318, G
"Vitamin C", 0.0, MG
"Thiamin", 0.003, MG
"Riboflavin", 0.003, MG
"Folate", 3.00, UG
"Carotene, beta", 610.00, UG
"Heptadecanoic acid", 0.031, G
"Tetracosanoic acid", 0.044, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 2.20, G
"Tetracosenoic cis acid", 0.013, G
"Cis-octadecenoic acid", 10.918, G
"Cis,cis-octadecadienoic n-6 acid", 13.711, G
"Docosenoic cis acid", 0.015, G
"Heptadecenoic acid", 0.017, G
"Fatty acids, total trans-monoenoic", 0.028, G
"Docosanoic acid", 0.102, G
"Hexadecenoic acid", 0.040, G
"Trans-octadecatrienoic acid", 0.000, G
"Tocopherol, alpha", 13.45, MG
# Downloaded from https://www.nutritionvalue.org 
