charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Marmalade, orange
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 246.00, KCAL
"Fat", 0.00, G
"Protein", 0.30, G
"Carbohydrate", 66.30, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.7, G
"Cholesterol", 0.00, MG
"Phosphorus, P", 4.00, MG
"Vitamin A", 62.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 3.00, UG
"Carotene, beta", 15.00, UG
"Carotene, alpha", 5.00, UG
"Cryptoxanthin, beta", 38.00, UG
"Lycopene", 0.00, UG
"Riboflavin", 0.025, MG
"Folate", 9.00, UG
"Vitamin K", 0.0, UG
"Folate, food", 9.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Selenium, Se", 0.6, UG
"Vitamin E", 0.06, MG
"Lutein + zeaxanthin", 58.00, UG
"Vitamin B6", 0.019, MG
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Saturated fatty acids", 0.000, G
"Isoleucine", 0.008, G
"Leucine", 0.007, G
"Lysine", 0.015, G
"Cystine", 0.003, G
"Valine", 0.013, G
"Arginine", 0.021, G
"Histidine", 0.006, G
"Aspartic acid", 0.036, G
"Serine", 0.010, G
"Niacin", 0.052, MG
"Pantothenic acid", 0.015, MG
"Water", 33.20, G
"Calcium, Ca", 38.00, MG
"Potassium, K", 37.00, MG
"Zinc, Zn", 0.04, MG
"Ash", 0.20, G
"Iron, Fe", 0.15, MG
"Magnesium, Mg", 2.00, MG
"Vitamin B12", 0.00, UG
"Vitamin C", 4.8, MG
"Thiamin", 0.005, MG
"Tryptophan", 0.003, G
"Threonine", 0.005, G
"Methionine", 0.006, G
"Phenylalanine", 0.010, G
"Tyrosine", 0.005, G
"Alanine", 0.016, G
"Glutamic acid", 0.030, G
"Glycine", 0.030, G
"Proline", 0.015, G
"Sodium, Na", 56.00, MG
"Copper, Cu", 0.090, MG
"Manganese, Mn", 0.020, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Sugars", 60.00, G
"Folate, DFE", 9.00, UG
"Choline", 3.0, MG
"Tocopherol, alpha", 0.06, MG
# Downloaded from https://www.nutritionvalue.org 
