charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Melon balls, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 33.00, KCAL
"Fat", 0.25, G
"Protein", 0.84, G
"Carbohydrate", 7.94, G
"Folic acid", 0.00, UG
"Folate, DFE", 26.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.052, G
"Octadecanoic acid", 0.006, G
"Octadecenoic acid", 0.004, G
"Octadecadienoic acid", 0.042, G
"Octadecatrienoic acid", 0.056, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.006, G
"Polyunsaturated fatty acids", 0.098, G
"Saturated fatty acids", 0.064, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.002, G
"Tetradecanoic acid", 0.002, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Vitamin A, RAE", 89.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin C", 6.2, MG
"Thiamin", 0.166, MG
"Riboflavin", 0.022, MG
"Folate", 26.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 26.00, UG
"Cholesterol", 0.00, MG
"Ash", 0.71, G
"Fiber", 0.7, G
"Iron, Fe", 0.29, MG
"Magnesium, Mg", 14.00, MG
"Phosphorus, P", 12.00, MG
"Sodium, Na", 31.00, MG
"Copper, Cu", 0.060, MG
"Manganese, Mn", 0.040, MG
"Vitamin A", 1774.00, IU
"Water", 90.26, G
"Calcium, Ca", 10.00, MG
"Potassium, K", 280.00, MG
"Zinc, Zn", 0.17, MG
"Niacin", 0.640, MG
"Pantothenic acid", 0.163, MG
"Vitamin B6", 0.106, MG
"Vitamin D", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
