charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Melons, raw, casaba
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 28.00, KCAL
"Fat", 0.10, G
"Protein", 1.11, G
"Carbohydrate", 6.58, G
"Folic acid", 0.00, UG
"Water", 91.85, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 5.69, G
"Calcium, Ca", 11.00, MG
"Potassium, K", 182.00, MG
"Zinc, Zn", 0.07, MG
"Selenium, Se", 0.4, UG
"Vitamin E", 0.05, MG
"Lutein + zeaxanthin", 26.00, UG
"Niacin", 0.232, MG
"Pantothenic acid", 0.084, MG
"Vitamin B6", 0.163, MG
"Ash", 0.36, G
"Fiber", 0.9, G
"Iron, Fe", 0.34, MG
"Magnesium, Mg", 11.00, MG
"Phosphorus, P", 5.00, MG
"Sodium, Na", 9.00, MG
"Copper, Cu", 0.060, MG
"Manganese, Mn", 0.035, MG
"Vitamin A", 0.00, IU
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 21.8, MG
"Thiamin", 0.015, MG
"Riboflavin", 0.031, MG
"Folate", 8.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K", 2.5, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Saturated fatty acids", 0.025, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.001, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.021, G
"Octadecanoic acid", 0.002, G
"Octadecenoic acid", 0.002, G
"Octadecadienoic acid", 0.017, G
"Octadecatrienoic acid", 0.022, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.002, G
"Polyunsaturated fatty acids", 0.039, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Choline", 7.6, MG
"Folate, DFE", 8.00, UG
"Folate, food", 8.00, UG
"Tocopherol, alpha", 0.05, MG
# Downloaded from https://www.nutritionvalue.org 
