charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Milk dessert bar, made from lowfat milk, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 147.00, KCAL
"Fat", 1.47, G
"Protein", 4.41, G
"Carbohydrate", 32.00, G
"Butanoic acid", 0.010, G
"Decanoic acid", 0.005, G
"Hexadecanoic acid", 0.474, G
"Octadecanoic acid", 0.500, G
"Octadecenoic acid", 0.571, G
"Octadecadienoic acid", 0.063, G
"Monounsaturated fatty acids", 0.581, G
"Polyunsaturated fatty acids", 0.065, G
"Hexadecenoic acid", 0.008, G
"Saturated fatty acids", 0.735, G
"Dodecanoic acid", 0.003, G
"Tetradecanoic acid", 0.021, G
"Hexanoic acid", 0.001, G
"Octadecatrienoic acid", 0.002, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Water", 61.43, G
"Caffeine", 2.00, MG
"Theobromine", 69.00, MG
"Sugars", 22.06, G
"Calcium, Ca", 184.00, MG
"Potassium, K", 316.00, MG
"Zinc, Zn", 0.43, MG
"Selenium, Se", 2.2, UG
"Vitamin E", 0.20, MG
"Vitamin D (D2 + D3), International Units", 5.00, IU
"Lutein + zeaxanthin", 1.00, UG
"Niacin", 0.126, MG
"Vitamin B6", 0.023, MG
"Choline", 19.6, MG
"Folic acid", 0.00, UG
"Folate, DFE", 4.00, UG
"Vitamin E, added", 0.00, MG
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.002, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Ash", 0.69, G
"Alcohol, ethyl", 0.0, G
"Fiber", 6.6, G
"Iron, Fe", 0.53, MG
"Magnesium, Mg", 20.00, MG
"Phosphorus, P", 83.00, MG
"Sodium, Na", 92.00, MG
"Copper, Cu", 0.103, MG
"Vitamin A", 424.00, IU
"Retinol", 60.00, UG
"Vitamin A, RAE", 71.00, UG
"Carotene, beta", 135.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.10, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 0.9, MG
"Thiamin", 0.023, MG
"Riboflavin", 0.129, MG
"Folate", 4.00, UG
"Vitamin B12", 0.14, UG
"Vitamin K", 0.6, UG
"Folate, food", 4.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 7.00, MG
"Tocopherol, alpha", 0.20, MG
# Downloaded from https://www.nutritionvalue.org 
