charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Milk, with added vitamin A and vitamin D, 2% fat, evaporated
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 107.00, KCAL
"Fat", 2.00, G
"Protein", 6.67, G
"Carbohydrate", 15.74, G
"Fiber", 0.0, G
"Iron, Fe", 0.19, MG
"Magnesium, Mg", 24.00, MG
"Phosphorus, P", 203.00, MG
"Sodium, Na", 100.00, MG
"Copper, Cu", 0.016, MG
"Manganese, Mn", 0.006, MG
"Vitamin A", 192.00, IU
"Retinol", 56.00, UG
"Vitamin A, RAE", 56.00, UG
"Carotene, beta", 4.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 4.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 16.0, MG
"Ash", 1.55, G
"Alcohol, ethyl", 0.0, G
"Thiamin", 0.047, MG
"Riboflavin", 0.316, MG
"Folate", 8.00, UG
"Vitamin B12", 0.16, UG
"Vitamin K", 0.2, UG
"Folate, food", 8.00, UG
"Tryptophan", 0.096, G
"Threonine", 0.307, G
"Methionine", 0.171, G
"Phenylalanine", 0.329, G
"Tyrosine", 0.329, G
"Alanine", 0.235, G
"Glutamic acid", 1.426, G
"Glycine", 0.144, G
"Proline", 0.660, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 1.204, G
"Octanoic acid", 0.015, G
"Dodecanoic acid", 0.045, G
"Tetradecanoic acid", 0.204, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.044, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Water", 74.04, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 6.67, G
"Calcium, Ca", 267.00, MG
"Potassium, K", 303.00, MG
"Zinc, Zn", 0.77, MG
"Selenium, Se", 2.3, UG
"Vitamin E", 0.18, MG
"Vitamin D (D2 + D3), International Units", 160.00, IU
"Lutein + zeaxanthin", 0.00, UG
"Niacin", 0.194, MG
"Pantothenic acid", 0.638, MG
"Vitamin B6", 0.050, MG
"Choline", 16.6, MG
"Folic acid", 0.00, UG
"Folate, DFE", 8.00, UG
"Isoleucine", 0.412, G
"Leucine", 0.667, G
"Lysine", 0.540, G
"Cystine", 0.063, G
"Valine", 0.456, G
"Arginine", 0.247, G
"Histidine", 0.185, G
"Aspartic acid", 0.517, G
"Serine", 0.370, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.054, G
"Hexanoic acid", 0.037, G
"Decanoic acid", 0.031, G
"Hexadecanoic acid", 0.563, G
"Octadecanoic acid", 0.256, G
"Octadecenoic acid", 0.584, G
"Octadecadienoic acid", 0.046, G
"Octadecatrienoic acid", 0.022, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.628, G
"Polyunsaturated fatty acids", 0.068, G
"Tocopherol, alpha", 0.18, MG
# Downloaded from https://www.nutritionvalue.org 
