charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Milk, with added vitamin A, evaporated, canned
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 134.00, KCAL
"Fat", 7.56, G
"Protein", 6.81, G
"Carbohydrate", 10.04, G
"Folic acid", 0.00, UG
"Fluoride, F", 8.5, UG
"Folate, DFE", 8.00, UG
"Folate, food", 8.00, UG
"Ash", 1.55, G
"Fiber", 0.0, G
"Iron, Fe", 0.19, MG
"Magnesium, Mg", 24.00, MG
"Phosphorus, P", 203.00, MG
"Sodium, Na", 106.00, MG
"Copper, Cu", 0.016, MG
"Manganese, Mn", 0.006, MG
"Vitamin A", 397.00, IU
"Vitamin C", 1.9, MG
"Thiamin", 0.047, MG
"Riboflavin", 0.316, MG
"Folate", 8.00, UG
"Vitamin B12", 0.16, UG
"Tryptophan", 0.096, G
"Threonine", 0.307, G
"Methionine", 0.171, G
"Phenylalanine", 0.329, G
"Tyrosine", 0.329, G
"Alanine", 0.235, G
"Glutamic acid", 1.426, G
"Glycine", 0.144, G
"Proline", 0.660, G
"Cholesterol", 29.00, MG
"Saturated fatty acids", 4.591, G
"Octanoic acid", 0.054, G
"Dodecanoic acid", 0.161, G
"Tetradecanoic acid", 0.733, G
"Hexadecenoic acid", 0.159, G
"Niacin", 0.194, MG
"Pantothenic acid", 0.638, MG
"Vitamin B6", 0.050, MG
"Water", 74.04, G
"Calcium, Ca", 261.00, MG
"Potassium, K", 303.00, MG
"Zinc, Zn", 0.77, MG
"Isoleucine", 0.412, G
"Leucine", 0.667, G
"Lysine", 0.540, G
"Cystine", 0.063, G
"Valine", 0.456, G
"Arginine", 0.247, G
"Histidine", 0.185, G
"Aspartic acid", 0.517, G
"Serine", 0.370, G
"Butanoic acid", 0.195, G
"Hexanoic acid", 0.134, G
"Decanoic acid", 0.110, G
"Hexadecanoic acid", 2.027, G
"Octadecanoic acid", 0.921, G
"Octadecenoic acid", 2.101, G
"Octadecadienoic acid", 0.167, G
"Octadecatrienoic acid", 0.078, G
"Eicosatetraenoic acid", 0.000, G
"Monounsaturated fatty acids", 2.335, G
"Polyunsaturated fatty acids", 0.245, G
"Selenium, Se", 2.3, UG
# Downloaded from https://www.nutritionvalue.org 
