charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Milk, with added vitamin D, 3.25% milkfat, whole
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 61.00, KCAL
"Fat", 3.25, G
"Protein", 3.15, G
"Carbohydrate", 4.80, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 51.00, IU
"Vitamin A, RAE", 46.00, UG
"Vitamin D3", 1.30, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Octanoic acid", 0.075, G
"Dodecanoic acid", 0.077, G
"Tetradecanoic acid", 0.297, G
"Hexadecenoic acid", 0.000, G
"Cholesterol", 10.00, MG
"Butanoic acid", 0.075, G
"Hexanoic acid", 0.075, G
"Decanoic acid", 0.075, G
"Hexadecanoic acid", 0.829, G
"Octadecanoic acid", 0.365, G
"Octadecenoic acid", 0.812, G
"Octadecadienoic acid", 0.120, G
"Octadecatrienoic acid", 0.075, G
"Selenium, Se", 3.7, UG
"Betaine", 0.6, MG
"Choline", 14.3, MG
"Alcohol, ethyl", 0.0, G
"Isoleucine", 0.163, G
"Leucine", 0.299, G
"Lysine", 0.264, G
"Cystine", 0.019, G
"Valine", 0.206, G
"Arginine", 0.090, G
"Histidine", 0.095, G
"Aspartic acid", 0.270, G
"Serine", 0.190, G
"Tryptophan", 0.040, G
"Threonine", 0.134, G
"Methionine", 0.083, G
"Phenylalanine", 0.163, G
"Tyrosine", 0.159, G
"Alanine", 0.107, G
"Glutamic acid", 0.708, G
"Glycine", 0.062, G
"Proline", 0.311, G
"Folate, DFE", 5.00, UG
"Monounsaturated fatty acids", 0.812, G
"Polyunsaturated fatty acids", 0.195, G
"Sugars", 5.05, G
"Folate, food", 5.00, UG
"Saturated fatty acids", 1.865, G
"Vitamin D", 1.30, UG
"Folate", 5.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosanoic acid", 0.000, G
"Pentadecanoic acid", 0.000, G
"Tridecanoic acid", 0.000, G
"Galactose", 0.00, G
"Fiber", 0.0, G
"Lycopene", 0.00, UG
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Iron, Fe", 0.03, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 84.00, MG
"Sodium, Na", 43.00, MG
"Copper, Cu", 0.025, MG
"Manganese, Mn", 0.004, MG
"Vitamin A", 162.00, IU
"Retinol", 45.00, UG
"Ash", 0.67, G
"Fructose", 0.00, G
"Lactose", 5.05, G
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.046, MG
"Riboflavin", 0.169, MG
"Vitamin B12", 0.45, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.3, UG
"Cryptoxanthin, beta", 0.00, UG
"Carotene, beta", 7.00, UG
"Carotene, alpha", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.089, MG
"Pantothenic acid", 0.373, MG
"Vitamin B6", 0.036, MG
"Calcium, Ca", 113.00, MG
"Potassium, K", 132.00, MG
"Zinc, Zn", 0.37, MG
"Vitamin K (Menaquinone-4)", 1.00, UG
"Vitamin E", 0.07, MG
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 88.13, G
"Tocopherol, alpha", 0.07, MG
# Downloaded from https://www.nutritionvalue.org 
