charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Milk, without added vitamin A and vitamin D, 1% fat, fluid
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 42.00, KCAL
"Fat", 0.97, G
"Protein", 3.37, G
"Carbohydrate", 4.99, G
"Monounsaturated fatty acids", 0.277, G
"Polyunsaturated fatty acids", 0.035, G
"Octadecenoic acid", 0.250, G
"Octadecadienoic acid", 0.030, G
"Octadecatrienoic acid", 0.004, G
"Vitamin D (D2 + D3), International Units", 1.00, IU
"Hexadecenoic acid", 0.017, G
"Vitamin D3", 0.00, UG
"Vitamin D", 0.00, UG
"Folate, food", 5.00, UG
"Vitamin A", 47.00, IU
"Vitamin A, RAE", 14.00, UG
"Saturated fatty acids", 0.633, G
"Folate, DFE", 5.00, UG
"Isoleucine", 0.174, G
"Leucine", 0.319, G
"Lysine", 0.282, G
"Cystine", 0.020, G
"Valine", 0.220, G
"Histidine", 0.101, G
"Aspartic acid", 0.288, G
"Serine", 0.203, G
"Tryptophan", 0.043, G
"Threonine", 0.143, G
"Methionine", 0.088, G
"Phenylalanine", 0.174, G
"Tyrosine", 0.170, G
"Alanine", 0.114, G
"Glutamic acid", 0.756, G
"Glycine", 0.067, G
"Proline", 0.332, G
"Ash", 0.75, G
"Fructose", 0.00, G
"Lactose", 5.20, G
"Alcohol, ethyl", 0.0, G
"Tetradecenoic acid", 0.007, G
"Hydroxyproline", 0.000, G
"Vitamin B12, added", 0.00, UG
"Cholesterol", 5.00, MG
"Octanoic acid", 0.013, G
"Dodecanoic acid", 0.029, G
"Tetradecanoic acid", 0.091, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Carotene, beta", 2.00, UG
"Carotene, alpha", 0.00, UG
"Retinol", 13.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.020, MG
"Riboflavin", 0.185, MG
"Folate", 5.00, UG
"Vitamin B12", 0.47, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.1, UG
"Galactose", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.03, MG
"Magnesium, Mg", 11.00, MG
"Phosphorus, P", 95.00, MG
"Sodium, Na", 44.00, MG
"Copper, Cu", 0.010, MG
"Manganese, Mn", 0.003, MG
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Campesterol", 0.00, MG
"Heptadecanoic acid", 0.006, G
"Trans-Octadecadienoic acid", 0.00, G
"Cis-octadecenoic acid", 0.213, G
"Cis,cis-octadecadienoic n-6 acid", 0.027, G
"Heptadecenoic acid", 0.002, G
"Pentadecenoic acid", 0.002, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.093, MG
"Pantothenic acid", 0.361, MG
"Vitamin B6", 0.037, MG
"Choline", 17.7, MG
"Folic acid", 0.00, UG
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.00, G
"Maltose", 0.00, G
"Water", 89.92, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 5.20, G
"Calcium, Ca", 125.00, MG
"Potassium, K", 150.00, MG
"Zinc, Zn", 0.42, MG
"Fluoride, F", 2.6, UG
"Selenium, Se", 3.3, UG
"Vitamin E", 0.01, MG
"Betaine", 0.6, MG
"Arginine", 0.096, G
"Pentadecanoic acid", 0.010, G
"Trans-octadecenoic acid", 0.037, G
"Cis-hexadecenoic acid", 0.017, G
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.024, G
"Hexanoic acid", 0.018, G
"Decanoic acid", 0.027, G
"Hexadecanoic acid", 0.287, G
"Octadecanoic acid", 0.126, G
"Eicosanoic acid", 0.002, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Stigmasterol", 0.00, MG
"Beta-sitosterol", 0.00, MG
"Tocopherol, alpha", 0.01, MG
# Downloaded from https://www.nutritionvalue.org 
