charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Muffins, commercially prepared, corn
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 305.00, KCAL
"Fat", 8.40, G
"Protein", 5.90, G
"Carbohydrate", 51.00, G
"Alcohol, ethyl", 0.0, G
"Fiber", 3.4, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Octadecatetraenoic acid", 0.000, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Retinol", 49.00, UG
"Vitamin A, RAE", 52.00, UG
"Carotene, beta", 20.00, UG
"Carotene, alpha", 12.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 2.3, UG
"Lutein + zeaxanthin", 263.00, UG
"Vitamin E", 0.80, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Choline", 51.7, MG
"Vitamin A", 208.00, IU
"Folic acid", 28.00, UG
"Folate, DFE", 82.00, UG
"Sugars", 17.78, G
"Folate", 62.00, UG
"Sodium, Na", 385.00, MG
"Docosenoic acid", 0.000, G
"Isoleucine", 0.257, G
"Leucine", 0.516, G
"Lysine", 0.279, G
"Cystine", 0.110, G
"Valine", 0.294, G
"Arginine", 0.319, G
"Histidine", 0.151, G
"Aspartic acid", 0.480, G
"Serine", 0.325, G
"Niacin", 2.037, MG
"Pantothenic acid", 0.444, MG
"Vitamin B6", 0.084, MG
"Potassium, K", 69.00, MG
"Water", 32.60, G
"Thiamin", 0.273, MG
"Riboflavin", 0.326, MG
"Ash", 2.10, G
"Folate, food", 34.00, UG
"Tryptophan", 0.068, G
"Threonine", 0.226, G
"Methionine", 0.117, G
"Phenylalanine", 0.297, G
"Tyrosine", 0.218, G
"Alanine", 0.285, G
"Glutamic acid", 1.326, G
"Glycine", 0.224, G
"Proline", 0.477, G
"Iron, Fe", 2.81, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Magnesium, Mg", 32.00, MG
"Cholesterol", 26.00, MG
"Saturated fatty acids", 1.354, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.021, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.031, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Vitamin C", 0.0, MG
"Vitamin B12", 0.09, UG
"Copper, Cu", 0.299, MG
"Manganese, Mn", 0.355, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 1.048, G
"Octadecanoic acid", 0.278, G
"Octadecenoic acid", 2.070, G
"Octadecadienoic acid", 3.021, G
"Octadecatrienoic acid", 0.182, G
"Eicosatetraenoic acid", 0.009, G
"Zinc, Zn", 0.54, MG
"Eicosenoic acid", 0.002, G
"Monounsaturated fatty acids", 2.104, G
"Polyunsaturated fatty acids", 3.215, G
"Phosphorus, P", 284.00, MG
"Calcium, Ca", 74.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 15.2, UG
"Tocopherol, alpha", 0.80, MG
# Downloaded from https://www.nutritionvalue.org 
