charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Muffins, dry mix, blueberry
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 293.00, KCAL
"Fat", 3.25, G
"Protein", 3.48, G
"Carbohydrate", 61.00, G
"Niacin", 1.857, MG
"Hexadecanoic acid", 0.605, G
"Octadecanoic acid", 0.534, G
"Octadecenoic acid", 0.696, G
"Octadecatrienoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.696, G
"Water", 30.18, G
"Sugars", 32.73, G
"Calcium, Ca", 18.00, MG
"Potassium, K", 48.00, MG
"Ash", 2.09, G
"Fiber", 1.4, G
"Iron, Fe", 1.62, MG
"Vitamin C", 2.3, MG
"Thiamin", 0.232, MG
"Riboflavin", 0.232, MG
"Folate", 53.00, UG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.227, G
"Saturated fatty acids", 1.161, G
"Tetradecanoic acid", 0.022, G
"Hexadecenoic acid", 0.000, G
"Sodium, Na", 479.00, MG
"Vitamin A", 18.00, IU
"Retinol", 0.00, UG
"Copper, Cu", 0.088, MG
"Manganese, Mn", 0.276, MG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.069, G
"Threonine", 0.135, G
"Methionine", 0.082, G
"Phenylalanine", 0.229, G
"Tyrosine", 0.138, G
"Alanine", 0.147, G
"Glutamic acid", 1.596, G
"Glycine", 0.165, G
"Proline", 0.538, G
"Magnesium, Mg", 13.00, MG
"Phosphorus, P", 220.00, MG
"Zinc, Zn", 0.33, MG
"Pantothenic acid", 0.553, MG
"Vitamin B6", 0.082, MG
"Isoleucine", 0.184, G
"Leucine", 0.330, G
"Lysine", 0.168, G
"Cystine", 0.106, G
"Valine", 0.213, G
"Arginine", 0.187, G
"Histidine", 0.099, G
"Aspartic acid", 0.205, G
"Serine", 0.255, G
"Vitamin A, RAE", 1.00, UG
"Polyunsaturated fatty acids", 1.307, G
"Octadecadienoic acid", 1.307, G
"Selenium, Se", 3.1, UG
# Downloaded from https://www.nutritionvalue.org 
