charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Muffins, oat bran
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 270.00, KCAL
"Fat", 7.40, G
"Protein", 7.00, G
"Carbohydrate", 48.30, G
"Alcohol, ethyl", 0.0, G
"Fiber", 4.6, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Octanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 13.00, UG
"Folic acid", 71.00, UG
"Vitamin E", 0.66, MG
"Vitamin A", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 13.0, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Folate", 89.00, UG
"Sugars", 8.22, G
"Folate, DFE", 139.00, UG
"Choline", 6.6, MG
"Isoleucine", 0.262, G
"Leucine", 0.506, G
"Niacin", 0.420, MG
"Pantothenic acid", 1.010, MG
"Vitamin B6", 0.161, MG
"Lysine", 0.277, G
"Cystine", 0.182, G
"Valine", 0.364, G
"Arginine", 0.472, G
"Histidine", 0.156, G
"Aspartic acid", 0.576, G
"Serine", 0.309, G
"Thiamin", 0.262, MG
"Riboflavin", 0.095, MG
"Folate, food", 18.00, UG
"Tryptophan", 0.105, G
"Threonine", 0.210, G
"Ash", 2.30, G
"Methionine", 0.123, G
"Phenylalanine", 0.346, G
"Tyrosine", 0.234, G
"Alanine", 0.337, G
"Glutamic acid", 1.430, G
"Glycine", 0.338, G
"Proline", 0.365, G
"Cholesterol", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Water", 35.00, G
"Calcium, Ca", 63.00, MG
"Potassium, K", 507.00, MG
"Zinc, Zn", 1.84, MG
"Iron, Fe", 4.20, MG
"Magnesium, Mg", 157.00, MG
"Phosphorus, P", 376.00, MG
"Sodium, Na", 393.00, MG
"Copper, Cu", 0.330, MG
"Manganese, Mn", 2.630, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 11.0, UG
"Hexadecanoic acid", 0.803, G
"Octadecanoic acid", 0.252, G
"Octadecenoic acid", 1.661, G
"Octadecadienoic acid", 3.664, G
"Octadecatrienoic acid", 0.458, G
"Eicosenoic acid", 0.013, G
"Monounsaturated fatty acids", 1.695, G
"Polyunsaturated fatty acids", 4.129, G
"Vitamin C", 0.0, MG
"Vitamin B12", 0.01, UG
"Hexadecenoic acid", 0.016, G
"Saturated fatty acids", 1.087, G
"Dodecanoic acid", 0.002, G
"Tetradecanoic acid", 0.008, G
"Tocopherol, alpha", 0.66, MG
# Downloaded from https://www.nutritionvalue.org 
