charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Muffins, whole-wheat, English
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 203.00, KCAL
"Fat", 2.10, G
"Protein", 8.80, G
"Carbohydrate", 40.40, G
"Folate", 49.00, UG
"Folic acid", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Fiber", 6.7, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.41, MG
"Lutein + zeaxanthin", 91.00, UG
"Vitamin K", 1.0, UG
"Folate, food", 49.00, UG
"Vitamin A", 5.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 3.00, UG
"Carotene, alpha", 1.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Sodium, Na", 364.00, MG
"Choline", 13.7, MG
"Sugars", 8.09, G
"Folate, DFE", 49.00, UG
"Niacin", 3.410, MG
"Water", 45.70, G
"Calcium, Ca", 265.00, MG
"Potassium, K", 210.00, MG
"Isoleucine", 0.351, G
"Leucine", 0.610, G
"Lysine", 0.309, G
"Cystine", 0.190, G
"Valine", 0.414, G
"Arginine", 0.417, G
"Histidine", 0.205, G
"Aspartic acid", 0.510, G
"Serine", 0.415, G
"Octadecenoic acid", 0.479, G
"Octadecadienoic acid", 0.787, G
"Octadecatrienoic acid", 0.046, G
"Eicosatetraenoic acid", 0.002, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.276, G
"Octadecanoic acid", 0.049, G
"Ash", 2.80, G
"Hexadecenoic acid", 0.034, G
"Vitamin B12", 0.00, UG
"Thiamin", 0.300, MG
"Riboflavin", 0.140, MG
"Iron, Fe", 2.45, MG
"Tryptophan", 0.129, G
"Threonine", 0.283, G
"Methionine", 0.141, G
"Phenylalanine", 0.417, G
"Tyrosine", 0.272, G
"Alanine", 0.350, G
"Glutamic acid", 2.560, G
"Glycine", 0.362, G
"Proline", 0.841, G
"Cholesterol", 0.00, MG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.003, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Magnesium, Mg", 71.00, MG
"Phosphorus, P", 282.00, MG
"Copper, Cu", 0.212, MG
"Manganese, Mn", 1.790, MG
"Vitamin C", 0.0, MG
"Zinc, Zn", 1.60, MG
"Selenium, Se", 40.3, UG
"Pantothenic acid", 0.695, MG
"Vitamin B6", 0.163, MG
"Saturated fatty acids", 0.334, G
"Monounsaturated fatty acids", 0.513, G
"Polyunsaturated fatty acids", 0.835, G
"Tocopherol, alpha", 0.41, MG
# Downloaded from https://www.nutritionvalue.org 
