charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Mutton, roasted (Navajo), cooked
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 234.00, KCAL
"Fat", 11.09, G
"Protein", 33.43, G
"Carbohydrate", 0.08, G
"Choline", 100.6, MG
"Betaine", 33.9, MG
"Folate, food", 0.00, UG
"Water", 54.00, G
"Calcium, Ca", 10.00, MG
"Potassium, K", 409.00, MG
"Zinc, Zn", 5.93, MG
"Selenium, Se", 38.0, UG
"Vitamin E", 0.80, MG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Isoleucine", 1.588, G
"Leucine", 2.764, G
"Lysine", 2.999, G
"Cystine", 0.348, G
"Valine", 1.678, G
"Arginine", 2.178, G
"Histidine", 0.975, G
"Aspartic acid", 3.122, G
"Serine", 1.332, G
"Decanoic acid", 0.012, G
"Hexadecanoic acid", 2.474, G
"Octadecanoic acid", 2.145, G
"Eicosanoic acid", 0.022, G
"Octadecenoic acid", 4.149, G
"Octadecadienoic acid", 0.396, G
"Octadecatrienoic acid", 0.172, G
"Eicosatetraenoic acid", 0.074, G
"Eicosenoic acid", 0.007, G
"Monounsaturated fatty acids", 4.459, G
"Polyunsaturated fatty acids", 0.814, G
"Pentadecanoic acid", 0.063, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.025, G
"Eicosadienoic acid", 0.000, G
"Niacin", 6.520, MG
"Pantothenic acid", 0.897, MG
"Vitamin B6", 0.377, MG
"Ash", 1.41, G
"Iron, Fe", 4.76, MG
"Magnesium, Mg", 31.00, MG
"Phosphorus, P", 272.00, MG
"Sodium, Na", 135.00, MG
"Copper, Cu", 0.062, MG
"Manganese, Mn", 0.033, MG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Thiamin", 0.060, MG
"Riboflavin", 0.300, MG
"Folate", 0.00, UG
"Vitamin B12", 4.44, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Tryptophan", 0.257, G
"Threonine", 1.403, G
"Methionine", 0.918, G
"Phenylalanine", 1.399, G
"Tyrosine", 1.162, G
"Alanine", 1.964, G
"Glutamic acid", 5.167, G
"Glycine", 1.651, G
"Proline", 1.411, G
"Hydroxyproline", 0.244, G
"Cholesterol", 109.00, MG
"Saturated fatty acids", 5.142, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.010, G
"Tetradecanoic acid", 0.258, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.012, G
"Hexadecenoic acid", 0.206, G
"Heptadecanoic acid", 0.158, G
"Heptadecenoic acid", 0.085, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.15, G
"Tocopherol, alpha", 0.80, MG
# Downloaded from https://www.nutritionvalue.org 
