charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Nance, unsweetened, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 73.00, KCAL
"Fat", 1.16, G
"Protein", 0.66, G
"Carbohydrate", 16.97, G
"Fatty acids, total trans", 0.000, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 3.58, G
"Maltose", 0.00, G
"Water", 80.64, G
"Sugars", 8.31, G
"Calcium, Ca", 46.00, MG
"Potassium, K", 244.00, MG
"Zinc, Zn", 0.09, MG
"Selenium, Se", 0.4, UG
"Vitamin E", 1.25, MG
"Lutein + zeaxanthin", 569.00, UG
"Tocopherol, beta", 0.05, MG
"Tocopherol, gamma", 1.88, MG
"Tocotrienol, alpha", 0.03, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.290, MG
"Pantothenic acid", 0.180, MG
"Vitamin B6", 0.021, MG
"Ash", 0.57, G
"Fructose", 4.73, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Fiber", 7.5, G
"Iron, Fe", 0.38, MG
"Magnesium, Mg", 20.00, MG
"Phosphorus, P", 10.00, MG
"Sodium, Na", 3.00, MG
"Copper, Cu", 0.041, MG
"Manganese, Mn", 0.248, MG
"Vitamin A", 74.00, IU
"Vitamin A, RAE", 4.00, UG
"Carotene, beta", 40.00, UG
"Carotene, alpha", 3.00, UG
"Cryptoxanthin, beta", 5.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.29, MG
"Tocotrienol, gamma", 0.05, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 92.5, MG
"Thiamin", 0.015, MG
"Riboflavin", 0.018, MG
"Folate", 8.00, UG
"Vitamin K", 11.9, UG
"Folate, food", 8.00, UG
"Folic acid", 0.00, UG
"Folate, DFE", 8.00, UG
"Tocopherol, alpha", 1.25, MG
# Downloaded from https://www.nutritionvalue.org 
