charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Oat bran, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 246.00, KCAL
"Fat", 7.03, G
"Protein", 17.30, G
"Carbohydrate", 66.22, G
"Alcohol, ethyl", 0.0, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A, RAE", 0.00, UG
"Folate, food", 52.00, UG
"Folate, DFE", 52.00, UG
"Choline", 32.2, MG
"Retinol", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Calcium, Ca", 58.00, MG
"Potassium, K", 566.00, MG
"Zinc, Zn", 3.11, MG
"Water", 6.55, G
"Niacin", 0.934, MG
"Pantothenic acid", 1.494, MG
"Vitamin B6", 0.165, MG
"Isoleucine", 0.668, G
"Leucine", 1.374, G
"Lysine", 0.760, G
"Cystine", 0.576, G
"Valine", 0.964, G
"Arginine", 1.279, G
"Histidine", 0.410, G
"Aspartic acid", 1.576, G
"Serine", 0.890, G
"Hexadecanoic acid", 1.128, G
"Octadecanoic acid", 0.071, G
"Octadecenoic acid", 2.362, G
"Octadecadienoic acid", 2.645, G
"Octadecatrienoic acid", 0.121, G
"Monounsaturated fatty acids", 2.376, G
"Polyunsaturated fatty acids", 2.766, G
"Ash", 2.89, G
"Fiber", 15.4, G
"Iron, Fe", 5.41, MG
"Magnesium, Mg", 235.00, MG
"Phosphorus, P", 734.00, MG
"Sodium, Na", 4.00, MG
"Copper, Cu", 0.403, MG
"Manganese, Mn", 5.630, MG
"Vitamin A", 0.00, IU
"Tryptophan", 0.335, G
"Threonine", 0.502, G
"Methionine", 0.335, G
"Phenylalanine", 0.908, G
"Tyrosine", 0.668, G
"Alanine", 0.872, G
"Glutamic acid", 3.748, G
"Glycine", 0.947, G
"Proline", 0.982, G
"Vitamin C", 0.0, MG
"Thiamin", 1.170, MG
"Riboflavin", 0.220, MG
"Folate", 52.00, UG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 1.328, G
"Dodecanoic acid", 0.026, G
"Tetradecanoic acid", 0.016, G
"Hexadecenoic acid", 0.014, G
"Vitamin K", 3.2, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.10, MG
"Tocotrienol, gamma", 0.00, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.45, G
"Lutein + zeaxanthin", 180.00, UG
"Tocopherol, beta", 0.08, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 2.21, MG
"Tocotrienol, beta", 0.08, MG
"Vitamin E", 1.01, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 45.2, UG
"Betaine", 19.6, MG
"Tocopherol, alpha", 1.01, MG
# Downloaded from https://www.nutritionvalue.org 
