charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Oil, corn and canola
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 884.00, KCAL
"Fat", 100.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Folate, food", 0.00, UG
"Folic acid", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Tocopherol, delta", 1.28, MG
"Tocotrienol, gamma", 0.13, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 42.2, UG
"Ash", 0.00, G
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 0.00, MG
"Copper, Cu", 0.000, MG
"Vitamin A", 0.00, IU
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.334, G
"Saturated fatty acids", 8.026, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.306, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.191, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Campesterol", 233.00, MG
"Heptadecanoic acid", 0.000, G
"Cis-octadecenoic acid", 57.142, G
"Cis,cis-octadecadienoic n-6 acid", 22.981, G
"Heptadecenoic acid", 0.000, G
"Fatty acids, total trans-monoenoic", 0.000, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 5.80, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 0.00, MG
"Zinc, Zn", 0.00, MG
"Water", 0.00, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 35.37, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.000, MG
"Vitamin B6", 0.000, MG
"Folate, DFE", 0.00, UG
"Betaine", 0.0, MG
"Vitamin E", 14.84, MG
"Vitamin K (Menaquinone-4)", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 5.076, G
"Octadecanoic acid", 2.028, G
"Eicosanoic acid", 0.615, G
"Octadecenoic acid", 57.142, G
"Octadecadienoic acid", 23.315, G
"Octadecatrienoic acid", 5.798, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 1.204, G
"Docosenoic acid", 0.000, G
"Stigmasterol", 9.00, MG
"Beta-sitosterol", 419.00, MG
"Monounsaturated fatty acids", 58.537, G
"Polyunsaturated fatty acids", 29.113, G
"Pentadecanoic acid", 0.000, G
"Trans-octadecenoic acid", 0.000, G
"Trans,trans-octadecadienoic acid", 0.334, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Fatty acids, total trans-polyenoic", 0.334, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.0, UG
"Choline", 0.2, MG
"Tocopherol, alpha", 14.84, MG
# Downloaded from https://www.nutritionvalue.org 
