charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Oil, palm
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 884.00, KCAL
"Fat", 100.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Vitamin E", 15.94, MG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Vitamin K", 8.0, UG
"Copper, Cu", 0.000, MG
"Zinc, Zn", 0.00, MG
"Water", 0.00, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 0.00, MG
"Niacin", 0.000, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Isoleucine", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.000, G
"Serine", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 43.500, G
"Octadecanoic acid", 4.300, G
"Octadecenoic acid", 36.600, G
"Octadecadienoic acid", 9.100, G
"Octadecatrienoic acid", 0.200, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.100, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 37.000, G
"Polyunsaturated fatty acids", 9.300, G
"Ash", 0.00, G
"Fiber", 0.0, G
"Iron, Fe", 0.01, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 0.00, MG
"Vitamin B12", 0.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.000, G
"Glutamic acid", 0.000, G
"Glycine", 0.000, G
"Proline", 0.000, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 49.300, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.100, G
"Tetradecanoic acid", 1.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.300, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Retinol", 0.00, UG
"Folate, DFE", 0.00, UG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Folate", 0.00, UG
"Vitamin A", 0.00, IU
"Folate, food", 0.00, UG
"Selenium, Se", 0.0, UG
"Choline", 0.3, MG
"Tocopherol, alpha", 15.94, MG
# Downloaded from https://www.nutritionvalue.org 
