charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Oil, salad or cooking, olive
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 884.00, KCAL
"Fat", 100.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin E", 14.35, MG
"Tocopherol, beta", 0.11, MG
"Tocopherol, gamma", 0.83, MG
"Water", 0.00, G
"Calcium, Ca", 1.00, MG
"Potassium, K", 1.00, MG
"Zinc, Zn", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 11.290, G
"Octadecanoic acid", 1.953, G
"Eicosanoic acid", 0.414, G
"Octadecenoic acid", 71.269, G
"Octadecadienoic acid", 9.762, G
"Octadecatrienoic acid", 0.761, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.311, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 72.961, G
"Polyunsaturated fatty acids", 10.523, G
"Iron, Fe", 0.56, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 2.00, MG
"Copper, Cu", 0.000, MG
"Manganese, Mn", 0.000, MG
"Ash", 0.00, G
"Vitamin A, RAE", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Folate, food", 0.00, UG
"Saturated fatty acids", 13.808, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.129, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 1.255, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.022, G
"Tetracosanoic acid", 0.000, G
"Heptadecenoic acid", 0.125, G
"Alcohol, ethyl", 0.0, G
"Choline", 0.3, MG
"Folate, DFE", 0.00, UG
"Betaine", 0.1, MG
"Cholesterol", 0.00, MG
"Phytosterols", 221.00, MG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.000, G
"Glutamic acid", 0.000, G
"Glycine", 0.000, G
"Proline", 0.000, G
"Fiber", 0.0, G
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Vitamin A", 0.00, IU
"Niacin", 0.000, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Isoleucine", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.000, G
"Serine", 0.000, G
"Retinol", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Selenium, Se", 0.0, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Folic acid", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 60.2, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 14.35, MG
# Downloaded from https://www.nutritionvalue.org 
