charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Oil, walnut
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 884.00, KCAL
"Fat", 100.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Copper, Cu", 0.000, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin E", 0.40, MG
"Choline", 0.4, MG
"Betaine", 0.0, MG
"Vitamin K", 15.0, UG
"Isoleucine", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.000, G
"Serine", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 7.000, G
"Octadecanoic acid", 2.000, G
"Octadecenoic acid", 22.200, G
"Octadecadienoic acid", 52.900, G
"Octadecatrienoic acid", 10.400, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.400, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 22.800, G
"Polyunsaturated fatty acids", 63.300, G
"Water", 0.00, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 0.00, MG
"Zinc, Zn", 0.00, MG
"Niacin", 0.000, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Vitamin B12", 0.00, UG
"Fiber", 0.0, G
"Iron, Fe", 0.00, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 9.100, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.100, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 176.00, MG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.000, G
"Glutamic acid", 0.000, G
"Glycine", 0.000, G
"Proline", 0.000, G
"Ash", 0.00, G
"Retinol", 0.00, UG
"Folate, DFE", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Folate, food", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Folate", 0.00, UG
"Vitamin A", 0.00, IU
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin D", 0.00, UG
"Selenium, Se", 0.0, UG
"Tocopherol, alpha", 0.40, MG
# Downloaded from https://www.nutritionvalue.org 
