charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Onions, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 40.00, KCAL
"Fat", 0.10, G
"Protein", 1.10, G
"Carbohydrate", 9.34, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Betaine", 0.1, MG
"Isoleucine", 0.014, G
"Leucine", 0.025, G
"Lysine", 0.039, G
"Cystine", 0.004, G
"Valine", 0.021, G
"Arginine", 0.104, G
"Histidine", 0.014, G
"Aspartic acid", 0.091, G
"Serine", 0.021, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.034, G
"Octadecanoic acid", 0.004, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.013, G
"Octadecadienoic acid", 0.013, G
"Octadecatrienoic acid", 0.004, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.013, G
"Polyunsaturated fatty acids", 0.017, G
"Pentadecanoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Lutein + zeaxanthin", 4.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.04, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.116, MG
"Pantothenic acid", 0.123, MG
"Vitamin B6", 0.120, MG
"Choline", 6.1, MG
"Sugars", 4.24, G
"Calcium, Ca", 23.00, MG
"Potassium, K", 146.00, MG
"Zinc, Zn", 0.17, MG
"Fluoride, F", 1.1, UG
"Selenium, Se", 0.5, UG
"Vitamin E", 0.02, MG
"Sucrose", 0.99, G
"Glucose (dextrose)", 1.97, G
"Maltose", 0.00, G
"Water", 89.11, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin C", 7.4, MG
"Thiamin", 0.046, MG
"Riboflavin", 0.027, MG
"Folate", 19.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.4, UG
"Folate, food", 19.00, UG
"Tryptophan", 0.014, G
"Threonine", 0.021, G
"Methionine", 0.002, G
"Phenylalanine", 0.025, G
"Tyrosine", 0.014, G
"Alanine", 0.021, G
"Glutamic acid", 0.258, G
"Glycine", 0.025, G
"Proline", 0.012, G
"Saturated fatty acids", 0.042, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.004, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 15.00, MG
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Pentadecenoic acid", 0.000, G
"Ash", 0.35, G
"Starch", 0.00, G
"Fructose", 1.29, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Galactose", 0.00, G
"Fiber", 1.7, G
"Iron, Fe", 0.21, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 29.00, MG
"Sodium, Na", 4.00, MG
"Copper, Cu", 0.039, MG
"Manganese, Mn", 0.129, MG
"Carotene, beta", 1.00, UG
"Carotene, alpha", 0.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Vitamin A", 2.00, IU
"Folate, DFE", 19.00, UG
"Fatty acids, total trans", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.02, MG
# Downloaded from https://www.nutritionvalue.org 
