charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Onions, unprepared, whole, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 35.00, KCAL
"Fat", 0.06, G
"Protein", 0.89, G
"Carbohydrate", 8.45, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A", 2.00, IU
"Vitamin A, RAE", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.4, UG
"Folate, food", 21.00, UG
"Choline", 5.5, MG
"Vitamin E", 0.02, MG
"Sugars", 3.81, G
"Folate, DFE", 21.00, UG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Niacin", 0.175, MG
"Pantothenic acid", 0.099, MG
"Vitamin B6", 0.093, MG
"Isoleucine", 0.032, G
"Leucine", 0.031, G
"Lysine", 0.043, G
"Cystine", 0.016, G
"Valine", 0.021, G
"Arginine", 0.120, G
"Histidine", 0.015, G
"Aspartic acid", 0.049, G
"Serine", 0.026, G
"Calcium, Ca", 36.00, MG
"Potassium, K", 142.00, MG
"Zinc, Zn", 0.12, MG
"Monounsaturated fatty acids", 0.009, G
"Polyunsaturated fatty acids", 0.025, G
"Hexadecanoic acid", 0.010, G
"Octadecanoic acid", 0.001, G
"Octadecenoic acid", 0.009, G
"Octadecadienoic acid", 0.024, G
"Octadecatrienoic acid", 0.001, G
"Water", 90.22, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.011, G
"Tetradecanoic acid", 0.000, G
"Ash", 0.38, G
"Fiber", 1.7, G
"Iron, Fe", 0.46, MG
"Magnesium, Mg", 10.00, MG
"Phosphorus, P", 23.00, MG
"Sodium, Na", 10.00, MG
"Copper, Cu", 0.050, MG
"Manganese, Mn", 0.125, MG
"Tryptophan", 0.013, G
"Threonine", 0.022, G
"Methionine", 0.007, G
"Phenylalanine", 0.023, G
"Tyrosine", 0.022, G
"Alanine", 0.025, G
"Glutamic acid", 0.144, G
"Glycine", 0.037, G
"Proline", 0.028, G
"Vitamin C", 8.0, MG
"Thiamin", 0.026, MG
"Riboflavin", 0.024, MG
"Folate", 21.00, UG
"Vitamin B12", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Carotene, beta", 1.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 4.00, UG
"Vitamin D", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Selenium, Se", 0.4, UG
"Tocopherol, alpha", 0.02, MG
# Downloaded from https://www.nutritionvalue.org 
