charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Parsley, freeze-dried
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 271.00, KCAL
"Fat", 5.20, G
"Protein", 31.30, G
"Carbohydrate", 42.38, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Selenium, Se", 32.3, UG
"Fiber", 32.7, G
"Fatty acids, total trans", 0.000, G
"Folate", 194.00, UG
"Folate, food", 194.00, UG
"Folic acid", 0.00, UG
"Vitamin C", 149.0, MG
"Thiamin", 1.040, MG
"Riboflavin", 2.260, MG
"Tryptophan", 0.516, G
"Methionine", 0.210, G
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Iron, Fe", 53.90, MG
"Magnesium, Mg", 372.00, MG
"Phosphorus, P", 548.00, MG
"Sodium, Na", 391.00, MG
"Copper, Cu", 0.459, MG
"Manganese, Mn", 1.338, MG
"Vitamin A", 63240.00, IU
"Ash", 19.12, G
"Lysine", 3.115, G
"Niacin", 10.400, MG
"Pantothenic acid", 2.516, MG
"Vitamin B6", 1.375, MG
"Water", 2.00, G
"Calcium, Ca", 176.00, MG
"Potassium, K", 6300.00, MG
"Zinc, Zn", 6.11, MG
"Folate, DFE", 194.00, UG
"Vitamin D", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
