charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Parsley, fresh
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 36.00, KCAL
"Fat", 0.79, G
"Protein", 2.97, G
"Carbohydrate", 6.33, G
"Folic acid", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Choline", 12.8, MG
"Vitamin E", 0.75, MG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.53, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Folate, DFE", 152.00, UG
"Vitamin A, RAE", 421.00, UG
"Vitamin A", 8424.00, IU
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin K", 1640.0, UG
"Folate, food", 152.00, UG
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Water", 87.71, G
"Calcium, Ca", 138.00, MG
"Potassium, K", 554.00, MG
"Zinc, Zn", 1.07, MG
"Isoleucine", 0.118, G
"Leucine", 0.204, G
"Lysine", 0.181, G
"Cystine", 0.014, G
"Valine", 0.172, G
"Arginine", 0.122, G
"Histidine", 0.061, G
"Aspartic acid", 0.294, G
"Serine", 0.136, G
"Hexadecanoic acid", 0.084, G
"Octadecanoic acid", 0.039, G
"Octadecenoic acid", 0.287, G
"Octadecadienoic acid", 0.115, G
"Octadecatrienoic acid", 0.008, G
"Niacin", 1.313, MG
"Pantothenic acid", 0.400, MG
"Vitamin B6", 0.090, MG
"Monounsaturated fatty acids", 0.295, G
"Polyunsaturated fatty acids", 0.124, G
"Ash", 2.20, G
"Fiber", 3.3, G
"Iron, Fe", 6.20, MG
"Magnesium, Mg", 50.00, MG
"Phosphorus, P", 58.00, MG
"Sodium, Na", 56.00, MG
"Copper, Cu", 0.149, MG
"Manganese, Mn", 0.160, MG
"Saturated fatty acids", 0.132, G
"Cholesterol", 0.00, MG
"Phytosterols", 5.00, MG
"Hexadecenoic acid", 0.008, G
"Tetradecanoic acid", 0.008, G
"Tryptophan", 0.045, G
"Threonine", 0.122, G
"Methionine", 0.042, G
"Phenylalanine", 0.145, G
"Tyrosine", 0.082, G
"Alanine", 0.195, G
"Glutamic acid", 0.249, G
"Glycine", 0.145, G
"Proline", 0.213, G
"Vitamin C", 133.0, MG
"Thiamin", 0.086, MG
"Riboflavin", 0.098, MG
"Folate", 152.00, UG
"Vitamin B12", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Lutein + zeaxanthin", 5561.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 0.85, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 5054.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.1, UG
"Tocopherol, alpha", 0.75, MG
# Downloaded from https://www.nutritionvalue.org 
