charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pasta, dry, whole-wheat
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 352.00, KCAL
"Fat", 2.93, G
"Protein", 13.87, G
"Carbohydrate", 73.37, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Fatty acids, total trans-monoenoic", 0.000, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.07, G
"Eicosadienoic n-3 acid", 0.000, G
"Trans-octadecatrienoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.005, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.004, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.003, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.002, G
"Tetracosanoic acid", 0.004, G
"Trans-hexadecenoic acid", 0.000, G
"Tetracosenoic cis acid", 0.001, G
"Cis-octadecenoic acid", 0.340, G
"Cis,cis-octadecadienoic n-6 acid", 1.061, G
"Docosenoic cis acid", 0.002, G
"Heptadecenoic acid", 0.001, G
"Fatty acids, total trans", 0.002, G
"Saturated fatty acids", 0.428, G
"Octanoic acid", 0.000, G
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Thiamin", 0.407, MG
"Riboflavin", 0.218, MG
"Folate", 69.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 1.4, UG
"Folate, food", 69.00, UG
"Ash", 1.62, G
"Starch", 56.75, G
"Fructose", 0.30, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Fiber", 9.2, G
"Iron, Fe", 3.62, MG
"Magnesium, Mg", 128.00, MG
"Phosphorus, P", 343.00, MG
"Sodium, Na", 6.00, MG
"Copper, Cu", 0.497, MG
"Manganese, Mn", 2.983, MG
"Folate, DFE", 69.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.374, G
"Octadecanoic acid", 0.032, G
"Eicosanoic acid", 0.004, G
"Octadecenoic acid", 0.340, G
"Octadecadienoic acid", 1.063, G
"Octadecatrienoic acid", 0.070, G
"Eicosatetraenoic acid", 0.001, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.013, G
"Docosenoic acid", 0.002, G
"Monounsaturated fatty acids", 0.361, G
"Polyunsaturated fatty acids", 1.136, G
"Pentadecanoic acid", 0.004, G
"Trans-octadecenoic acid", 0.000, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.002, G
"Octadecadienoic CLAs acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.002, G
"Cis-hexadecenoic acid", 0.003, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Tocopherol, beta", 0.22, MG
"Tocopherol, gamma", 0.87, MG
"Tocotrienol, alpha", 0.40, MG
"Tocotrienol, beta", 2.79, MG
"Niacin", 8.691, MG
"Pantothenic acid", 0.870, MG
"Vitamin B6", 0.283, MG
"Vitamin K (Menaquinone-4)", 0.00, UG
"Sucrose", 0.68, G
"Glucose (dextrose)", 0.24, G
"Maltose", 1.52, G
"Water", 8.21, G
"Sugars", 2.74, G
"Calcium, Ca", 29.00, MG
"Potassium, K", 434.00, MG
"Zinc, Zn", 2.97, MG
"Selenium, Se", 77.6, UG
"Vitamin E", 0.46, MG
"Eicosadienoic acid", 0.000, G
"Fatty acids, total trans-polyenoic", 0.002, G
"Eicosadienoic n-6 acid", 0.000, G
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.46, MG
# Downloaded from https://www.nutritionvalue.org 
