charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pasta, enriched, dry
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 371.00, KCAL
"Fat", 1.51, G
"Protein", 13.04, G
"Carbohydrate", 74.67, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folic acid", 219.00, UG
"Choline", 15.1, MG
"Alcohol, ethyl", 0.0, G
"Fructose", 0.11, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Magnesium, Mg", 53.00, MG
"Phosphorus, P", 189.00, MG
"Sodium, Na", 6.00, MG
"Copper, Cu", 0.289, MG
"Manganese, Mn", 0.917, MG
"Sucrose", 0.48, G
"Glucose (dextrose)", 0.12, G
"Maltose", 1.96, G
"Sugars", 2.67, G
"Calcium, Ca", 21.00, MG
"Potassium, K", 223.00, MG
"Zinc, Zn", 1.41, MG
"Fluoride, F", 18.0, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Vitamin A", 0.00, IU
"Iron, Fe", 3.30, MG
"Thiamin", 0.891, MG
"Riboflavin", 0.400, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.277, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.000, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.000, G
"Tetracosanoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 0.171, G
"Heptadecenoic acid", 0.000, G
"Fatty acids, total trans-monoenoic", 0.000, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.02, G
"Niacin", 7.177, MG
"Folate, DFE", 391.00, UG
"Betaine", 142.4, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.251, G
"Octadecanoic acid", 0.025, G
"Eicosanoic acid", 0.000, G
"Octadecenoic acid", 0.171, G
"Octadecadienoic acid", 0.540, G
"Octadecatrienoic acid", 0.024, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.171, G
"Polyunsaturated fatty acids", 0.564, G
"Pentadecanoic acid", 0.000, G
"Trans-octadecenoic acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Tridecanoic acid", 0.000, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin C", 0.0, MG
"Vitamin B12", 0.00, UG
"Folate, food", 18.00, UG
"Cholesterol", 0.00, MG
"Pantothenic acid", 0.431, MG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 18.00, UG
"Tocopherol, beta", 0.06, MG
"Tocopherol, gamma", 0.88, MG
"Tocotrienol, alpha", 0.13, MG
"Tocotrienol, beta", 0.01, MG
"Selenium, Se", 63.2, UG
"Vitamin E", 0.11, MG
"Water", 9.90, G
"Vitamin B6", 0.142, MG
"Isoleucine", 0.511, G
"Leucine", 0.988, G
"Lysine", 0.298, G
"Cystine", 0.255, G
"Valine", 0.588, G
"Arginine", 0.474, G
"Histidine", 0.298, G
"Aspartic acid", 0.624, G
"Serine", 0.617, G
"Proline", 1.569, G
"Hydroxyproline", 0.000, G
"Fiber", 3.2, G
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 0.1, UG
"Folate", 237.00, UG
"Tryptophan", 0.185, G
"Threonine", 0.462, G
"Methionine", 0.147, G
"Phenylalanine", 0.668, G
"Tyrosine", 0.243, G
"Alanine", 0.438, G
"Glutamic acid", 4.596, G
"Glycine", 0.441, G
"Ash", 0.88, G
"Starch", 62.45, G
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.11, MG
# Downloaded from https://www.nutritionvalue.org 
