charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pears, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 57.00, KCAL
"Fat", 0.14, G
"Protein", 0.36, G
"Carbohydrate", 15.23, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Fatty acids, total trans", 0.000, G
"Magnesium, Mg", 7.00, MG
"Copper, Cu", 0.082, MG
"Vitamin A, RAE", 1.00, UG
"Cryptoxanthin, beta", 2.00, UG
"Lycopene", 0.00, UG
"Calcium, Ca", 9.00, MG
"Zinc, Zn", 0.10, MG
"Fluoride, F", 2.2, UG
"Retinol", 0.00, UG
"Phytosterols", 8.00, MG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Eicosenoic acid", 0.001, G
"Monounsaturated fatty acids", 0.084, G
"Polyunsaturated fatty acids", 0.094, G
"Hexadecanoic acid", 0.017, G
"Octadecanoic acid", 0.003, G
"Octadecenoic acid", 0.081, G
"Octadecadienoic acid", 0.093, G
"Octadecatrienoic acid", 0.001, G
"Sucrose", 0.71, G
"Glucose (dextrose)", 2.60, G
"Maltose", 0.00, G
"Water", 83.96, G
"Potassium, K", 116.00, MG
"Sugars", 9.75, G
"Lutein + zeaxanthin", 44.00, UG
"Niacin", 0.161, MG
"Pantothenic acid", 0.049, MG
"Vitamin B6", 0.029, MG
"Hexadecenoic acid", 0.002, G
"Saturated fatty acids", 0.022, G
"Vitamin C", 4.3, MG
"Riboflavin", 0.026, MG
"Ash", 0.32, G
"Fructose", 6.42, G
"Lactose", 0.00, G
"Iron, Fe", 0.18, MG
"Manganese, Mn", 0.048, MG
"Vitamin A", 25.00, IU
"Phosphorus, P", 12.00, MG
"Carotene, beta", 14.00, UG
"Carotene, alpha", 1.00, UG
"Vitamin K", 4.4, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Choline", 5.1, MG
"Folate, DFE", 7.00, UG
"Betaine", 0.2, MG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Folate, food", 7.00, UG
"Vitamin D", 0.00, UG
"Isoleucine", 0.011, G
"Leucine", 0.019, G
"Lysine", 0.017, G
"Cystine", 0.002, G
"Valine", 0.017, G
"Arginine", 0.010, G
"Histidine", 0.002, G
"Aspartic acid", 0.105, G
"Serine", 0.015, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.03, MG
"Tocotrienol, alpha", 0.02, MG
"Tocotrienol, beta", 0.00, MG
"Selenium, Se", 0.1, UG
"Vitamin E", 0.12, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Folate", 7.00, UG
"Thiamin", 0.012, MG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Tryptophan", 0.002, G
"Threonine", 0.011, G
"Methionine", 0.002, G
"Phenylalanine", 0.011, G
"Tyrosine", 0.002, G
"Alanine", 0.014, G
"Glutamic acid", 0.030, G
"Glycine", 0.013, G
"Proline", 0.021, G
"Galactose", 0.00, G
"Fiber", 3.1, G
"Sodium, Na", 1.00, MG
"Alcohol, ethyl", 0.0, G
"Tocopherol, alpha", 0.12, MG
# Downloaded from https://www.nutritionvalue.org 
