charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Peas, raw, green
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 81.00, KCAL
"Fat", 0.40, G
"Protein", 5.42, G
"Carbohydrate", 14.45, G
"Folic acid", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Betaine", 0.2, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A", 765.00, IU
"Vitamin A, RAE", 38.00, UG
"Folate, food", 65.00, UG
"Folate, DFE", 65.00, UG
"Choline", 28.4, MG
"Sugars", 5.67, G
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Ash", 0.87, G
"Iron, Fe", 1.47, MG
"Magnesium, Mg", 33.00, MG
"Phosphorus, P", 108.00, MG
"Sodium, Na", 5.00, MG
"Copper, Cu", 0.176, MG
"Manganese, Mn", 0.410, MG
"Tryptophan", 0.037, G
"Threonine", 0.203, G
"Methionine", 0.082, G
"Phenylalanine", 0.200, G
"Tyrosine", 0.114, G
"Alanine", 0.240, G
"Glutamic acid", 0.741, G
"Glycine", 0.184, G
"Proline", 0.173, G
"Vitamin C", 40.0, MG
"Thiamin", 0.266, MG
"Riboflavin", 0.132, MG
"Folate", 65.00, UG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.071, G
"Niacin", 2.090, MG
"Pantothenic acid", 0.104, MG
"Vitamin B6", 0.169, MG
"Monounsaturated fatty acids", 0.035, G
"Polyunsaturated fatty acids", 0.187, G
"Hexadecanoic acid", 0.064, G
"Octadecanoic acid", 0.007, G
"Octadecenoic acid", 0.035, G
"Octadecadienoic acid", 0.152, G
"Octadecatrienoic acid", 0.035, G
"Vitamin E", 0.13, MG
"Water", 78.86, G
"Isoleucine", 0.195, G
"Leucine", 0.323, G
"Lysine", 0.317, G
"Cystine", 0.032, G
"Valine", 0.235, G
"Arginine", 0.428, G
"Histidine", 0.107, G
"Aspartic acid", 0.496, G
"Serine", 0.181, G
"Calcium, Ca", 25.00, MG
"Potassium, K", 244.00, MG
"Zinc, Zn", 1.24, MG
"Fatty acids, total trans", 0.000, G
"Fiber", 5.7, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Lutein + zeaxanthin", 2477.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.95, MG
"Sucrose", 4.99, G
"Glucose (dextrose)", 0.12, G
"Maltose", 0.17, G
"Carotene, beta", 449.00, UG
"Carotene, alpha", 21.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.02, MG
"Vitamin K", 24.8, UG
"Galactose", 0.00, G
"Fructose", 0.39, G
"Lactose", 0.00, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 1.8, UG
"Tocopherol, alpha", 0.13, MG
# Downloaded from https://www.nutritionvalue.org 
