charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Peppers, canned, hot pickled
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 22.00, KCAL
"Fat", 0.40, G
"Protein", 0.80, G
"Carbohydrate", 4.56, G
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.67, G
"Maltose", 0.00, G
"Water", 90.20, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Niacin", 0.343, MG
"Pantothenic acid", 0.200, MG
"Vitamin B6", 0.105, MG
"Choline", 8.9, MG
"Folic acid", 0.00, UG
"Folate, DFE", 13.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.037, G
"Octadecanoic acid", 0.012, G
"Eicosanoic acid", 0.002, G
"Octadecenoic acid", 0.022, G
"Octadecadienoic acid", 0.113, G
"Octadecatrienoic acid", 0.030, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.023, G
"Polyunsaturated fatty acids", 0.143, G
"Pentadecanoic acid", 0.002, G
"Trans-octadecenoic acid", 0.001, G
"Docosenoic trans acid", 0.000, G
"Trans-octadecadienoic acid", 0.000, G
"Octadecadienoic CLAs acid", 0.000, G
"Cis,cis-eicosadienoic n-6 acid", 0.000, G
"Cis-hexadecenoic acid", 0.001, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, G
"Eicosadienoic acid", 0.000, G
"Fatty acids, total trans-polyenoic", 0.000, G
"Eicosadienoic n-6 acid", 0.000, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.60, G
"Calcium, Ca", 61.00, MG
"Potassium, K", 113.00, MG
"Zinc, Zn", 0.09, MG
"Selenium, Se", 0.4, UG
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Heptadecanoic acid", 0.001, G
"Tetracosanoic acid", 0.002, G
"Trans-hexadecenoic acid", 0.000, G
"Tetracosenoic cis acid", 0.000, G
"Cis-octadecenoic acid", 0.021, G
"Cis,cis-octadecadienoic n-6 acid", 0.113, G
"Docosenoic cis acid", 0.000, G
"Heptadecenoic acid", 0.000, G
"Fatty acids, total trans-monoenoic", 0.001, G
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.03, G
"Eicosadienoic n-3 acid", 0.000, G
"Retinol", 0.00, UG
"Vitamin D", 0.00, UG
"Vitamin C", 12.3, MG
"Thiamin", 0.037, MG
"Riboflavin", 0.023, MG
"Folate", 13.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 13.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.001, G
"Saturated fatty acids", 0.061, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.003, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Docosanoic acid", 0.002, G
"Tetradecenoic acid", 0.000, G
"Hexadecenoic acid", 0.001, G
"Ash", 4.04, G
"Fructose", 0.93, G
"Lactose", 0.00, G
"Alcohol, ethyl", 0.0, G
"Galactose", 0.00, G
"Fiber", 2.6, G
"Iron, Fe", 0.32, MG
"Magnesium, Mg", 6.00, MG
"Phosphorus, P", 13.00, MG
"Sodium, Na", 1430.00, MG
"Copper, Cu", 0.045, MG
"Manganese, Mn", 0.052, MG
"Trans-octadecatrienoic acid", 0.000, G
"Docosatetraenoic acid", 0.000, G
"Vitamin A, RAE", 43.00, UG
"Carotene, beta", 440.00, UG
"Carotene, alpha", 163.00, UG
"Vitamin K", 21.9, UG
"Cryptoxanthin, beta", 1.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.00, MG
"Tocotrienol, delta", 0.00, MG
"Vitamin A", 870.00, IU
"Lutein + zeaxanthin", 585.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Tocotrienol, alpha", 0.00, MG
"Tocotrienol, beta", 0.00, MG
"Vitamin E", 0.90, MG
"Tocopherol, alpha", 0.90, MG
# Downloaded from https://www.nutritionvalue.org 
