charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Peppers, dried, ancho
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 281.00, KCAL
"Fat", 8.20, G
"Protein", 11.86, G
"Carbohydrate", 51.42, G
"Sodium, Na", 43.00, MG
"Copper, Cu", 0.508, MG
"Folic acid", 0.00, UG
"Folate, DFE", 69.00, UG
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Vitamin B12", 0.00, UG
"Retinol", 0.00, UG
"Vitamin A, RAE", 1022.00, UG
"Fatty acids, total trans", 0.000, G
"Ash", 5.89, G
"Fiber", 21.6, G
"Iron, Fe", 10.93, MG
"Magnesium, Mg", 113.00, MG
"Phosphorus, P", 201.00, MG
"Vitamin C", 2.0, MG
"Thiamin", 0.179, MG
"Riboflavin", 2.255, MG
"Folate", 69.00, UG
"Manganese, Mn", 1.279, MG
"Vitamin A", 20438.00, IU
"Folate, food", 69.00, UG
"Tryptophan", 0.155, G
"Threonine", 0.425, G
"Methionine", 0.142, G
"Phenylalanine", 0.361, G
"Tyrosine", 0.245, G
"Alanine", 0.476, G
"Glutamic acid", 1.532, G
"Glycine", 0.425, G
"Proline", 0.502, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.820, G
"Hexadecenoic acid", 0.000, G
"Tetradecanoic acid", 0.082, G
"Hexadecanoic acid", 0.656, G
"Octadecanoic acid", 0.082, G
"Octadecenoic acid", 0.410, G
"Octadecadienoic acid", 4.265, G
"Octadecatrienoic acid", 0.164, G
"Niacin", 6.403, MG
"Pantothenic acid", 1.993, MG
"Vitamin B6", 3.535, MG
"Water", 22.63, G
"Calcium, Ca", 61.00, MG
"Potassium, K", 2411.00, MG
"Zinc, Zn", 1.42, MG
"Isoleucine", 0.373, G
"Leucine", 0.605, G
"Lysine", 0.515, G
"Cystine", 0.219, G
"Valine", 0.489, G
"Arginine", 0.554, G
"Histidine", 0.232, G
"Aspartic acid", 1.661, G
"Serine", 0.464, G
"Monounsaturated fatty acids", 0.492, G
"Polyunsaturated fatty acids", 4.511, G
"Vitamin D", 0.00, UG
"Selenium, Se", 2.9, UG
# Downloaded from https://www.nutritionvalue.org 
