charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Persimmons, dried, japanese
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 274.00, KCAL
"Fat", 0.59, G
"Protein", 1.38, G
"Carbohydrate", 73.43, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A", 767.00, IU
"Vitamin A, RAE", 38.00, UG
"Carotene, beta", 374.00, UG
"Carotene, alpha", 18.00, UG
"Cryptoxanthin, beta", 156.00, UG
"Retinol", 0.00, UG
"Water", 23.01, G
"Calcium, Ca", 25.00, MG
"Potassium, K", 802.00, MG
"Zinc, Zn", 0.42, MG
"Niacin", 0.180, MG
"Isoleucine", 0.060, G
"Leucine", 0.101, G
"Lysine", 0.078, G
"Cystine", 0.030, G
"Valine", 0.072, G
"Arginine", 0.059, G
"Histidine", 0.027, G
"Aspartic acid", 0.136, G
"Serine", 0.053, G
"Ash", 1.59, G
"Fiber", 14.5, G
"Iron, Fe", 0.74, MG
"Magnesium, Mg", 31.00, MG
"Phosphorus, P", 81.00, MG
"Sodium, Na", 2.00, MG
"Copper, Cu", 0.442, MG
"Manganese, Mn", 1.390, MG
"Vitamin C", 0.0, MG
"Riboflavin", 0.029, MG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.024, G
"Threonine", 0.071, G
"Methionine", 0.012, G
"Phenylalanine", 0.063, G
"Tyrosine", 0.039, G
"Alanine", 0.068, G
"Glutamic acid", 0.179, G
"Glycine", 0.060, G
"Proline", 0.053, G
"Cholesterol", 0.00, MG
"Vitamin D", 0.00, UG
# Downloaded from https://www.nutritionvalue.org 
