charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pickle relish, hot dog
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 91.00, KCAL
"Fat", 0.46, G
"Protein", 1.50, G
"Carbohydrate", 23.35, G
"Fiber", 1.5, G
"Folic acid", 0.00, UG
"Folate, DFE", 1.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 8.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin C", 1.0, MG
"Thiamin", 0.040, MG
"Riboflavin", 0.040, MG
"Folate", 1.00, UG
"Vitamin B12", 0.00, UG
"Iron, Fe", 1.25, MG
"Magnesium, Mg", 19.00, MG
"Phosphorus, P", 40.00, MG
"Sodium, Na", 1091.00, MG
"Copper, Cu", 0.082, MG
"Manganese, Mn", 0.015, MG
"Vitamin A", 167.00, IU
"Tryptophan", 0.019, G
"Threonine", 0.047, G
"Methionine", 0.018, G
"Phenylalanine", 0.046, G
"Tyrosine", 0.032, G
"Alanine", 0.055, G
"Glutamic acid", 0.331, G
"Glycine", 0.059, G
"Proline", 0.065, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.044, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.001, G
"Hexadecenoic acid", 0.001, G
"Ash", 3.04, G
"Water", 71.65, G
"Calcium, Ca", 5.00, MG
"Potassium, K", 78.00, MG
"Zinc, Zn", 0.21, MG
"Isoleucine", 0.050, G
"Leucine", 0.075, G
"Lysine", 0.069, G
"Cystine", 0.019, G
"Valine", 0.056, G
"Arginine", 0.097, G
"Histidine", 0.030, G
"Aspartic acid", 0.093, G
"Serine", 0.049, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.036, G
"Octadecanoic acid", 0.006, G
"Octadecenoic acid", 0.090, G
"Octadecadienoic acid", 0.056, G
"Octadecatrienoic acid", 0.054, G
"Eicosenoic acid", 0.028, G
"Docosenoic acid", 0.109, G
"Monounsaturated fatty acids", 0.227, G
"Polyunsaturated fatty acids", 0.110, G
"Niacin", 0.500, MG
"Pantothenic acid", 0.007, MG
"Vitamin B6", 0.015, MG
"Vitamin D", 0.00, UG
"Folate, food", 1.00, UG
"Selenium, Se", 0.0, UG
# Downloaded from https://www.nutritionvalue.org 
