charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pickles, sour, cucumber
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 11.00, KCAL
"Fat", 0.20, G
"Protein", 0.33, G
"Carbohydrate", 2.26, G
"Folic acid", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Ash", 3.13, G
"Tryptophan", 0.003, G
"Threonine", 0.009, G
"Methionine", 0.003, G
"Phenylalanine", 0.009, G
"Tyrosine", 0.006, G
"Alanine", 0.011, G
"Glutamic acid", 0.095, G
"Glycine", 0.012, G
"Proline", 0.008, G
"Vitamin C", 1.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.010, MG
"Folate", 1.00, UG
"Vitamin B12", 0.00, UG
"Phytosterols", 14.00, MG
"Cholesterol", 0.00, MG
"Fiber", 1.2, G
"Iron, Fe", 0.40, MG
"Magnesium, Mg", 4.00, MG
"Phosphorus, P", 14.00, MG
"Sodium, Na", 1208.00, MG
"Copper, Cu", 0.085, MG
"Manganese, Mn", 0.011, MG
"Water", 94.08, G
"Isoleucine", 0.010, G
"Leucine", 0.014, G
"Lysine", 0.014, G
"Cystine", 0.002, G
"Valine", 0.011, G
"Arginine", 0.021, G
"Histidine", 0.005, G
"Aspartic acid", 0.020, G
"Serine", 0.010, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 23.00, MG
"Zinc, Zn", 0.02, MG
"Niacin", 0.000, MG
"Pantothenic acid", 0.038, MG
"Vitamin B6", 0.009, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.0, UG
"Sugars", 1.06, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.043, G
"Octadecanoic acid", 0.005, G
"Octadecenoic acid", 0.003, G
"Octadecadienoic acid", 0.034, G
"Octadecatrienoic acid", 0.046, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.003, G
"Polyunsaturated fatty acids", 0.081, G
"Lutein + zeaxanthin", 43.00, UG
"Folate, DFE", 1.00, UG
"Betaine", 0.0, MG
"Vitamin E", 0.09, MG
"Choline", 3.6, MG
"Vitamin A", 191.00, IU
"Cryptoxanthin, beta", 47.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 47.0, UG
"Folate, food", 1.00, UG
"Saturated fatty acids", 0.052, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.002, G
"Tetradecanoic acid", 0.002, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin A, RAE", 10.00, UG
"Carotene, beta", 81.00, UG
"Carotene, alpha", 20.00, UG
"Tocopherol, alpha", 0.09, MG
# Downloaded from https://www.nutritionvalue.org 
