charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pie, peach
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 224.00, KCAL
"Fat", 10.00, G
"Protein", 1.90, G
"Carbohydrate", 32.90, G
"Fiber", 0.8, G
"Alcohol, ethyl", 0.0, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Lutein + zeaxanthin", 15.00, UG
"Vitamin E", 0.94, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Folic acid", 25.00, UG
"Folate", 29.00, UG
"Retinol", 4.00, UG
"Vitamin A, RAE", 10.00, UG
"Carotene, beta", 64.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 25.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 3.3, UG
"Choline", 7.2, MG
"Sodium, Na", 217.00, MG
"Vitamin A", 140.00, IU
"Sugars", 16.23, G
"Folate, DFE", 46.00, UG
"Folate, food", 4.00, UG
"Tryptophan", 0.022, G
"Threonine", 0.057, G
"Methionine", 0.035, G
"Phenylalanine", 0.081, G
"Tyrosine", 0.052, G
"Alanine", 0.069, G
"Glutamic acid", 0.538, G
"Glycine", 0.064, G
"Proline", 0.178, G
"Vitamin B12", 0.00, UG
"Thiamin", 0.061, MG
"Riboflavin", 0.033, MG
"Cholesterol", 0.00, MG
"Iron, Fe", 0.50, MG
"Ash", 0.80, G
"Isoleucine", 0.067, G
"Leucine", 0.122, G
"Lysine", 0.064, G
"Cystine", 0.035, G
"Valine", 0.086, G
"Arginine", 0.066, G
"Histidine", 0.037, G
"Aspartic acid", 0.132, G
"Serine", 0.095, G
"Calcium, Ca", 8.00, MG
"Potassium, K", 125.00, MG
"Zinc, Zn", 0.09, MG
"Water", 54.40, G
"Eicosatetraenoic acid", 0.000, G
"Vitamin B6", 0.023, MG
"Niacin", 0.200, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Magnesium, Mg", 6.00, MG
"Phosphorus, P", 22.00, MG
"Copper, Cu", 0.053, MG
"Manganese, Mn", 0.152, MG
"Vitamin C", 0.9, MG
"Saturated fatty acids", 1.508, G
"Tetradecanoic acid", 0.011, G
"Hexadecenoic acid", 0.038, G
"Selenium, Se", 1.3, UG
"Pantothenic acid", 0.114, MG
"Hexadecanoic acid", 0.995, G
"Octadecanoic acid", 0.501, G
"Octadecenoic acid", 4.193, G
"Octadecadienoic acid", 3.485, G
"Octadecatrienoic acid", 0.255, G
"Monounsaturated fatty acids", 4.241, G
"Polyunsaturated fatty acids", 3.749, G
"Tocopherol, alpha", 0.94, MG
# Downloaded from https://www.nutritionvalue.org 
