charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pie, prepared from recipe, apple
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 265.00, KCAL
"Fat", 12.50, G
"Protein", 2.40, G
"Carbohydrate", 37.10, G
"Folate, DFE", 38.00, UG
"Folic acid", 20.00, UG
"Retinol", 9.00, UG
"Vitamin A, RAE", 11.00, UG
"Water", 47.30, G
"Calcium, Ca", 7.00, MG
"Potassium, K", 79.00, MG
"Zinc, Zn", 0.19, MG
"Niacin", 1.230, MG
"Pantothenic acid", 0.093, MG
"Vitamin B6", 0.032, MG
"Isoleucine", 0.083, G
"Leucine", 0.164, G
"Lysine", 0.056, G
"Cystine", 0.050, G
"Valine", 0.097, G
"Arginine", 0.096, G
"Histidine", 0.053, G
"Aspartic acid", 0.111, G
"Serine", 0.119, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 1.738, G
"Octadecanoic acid", 1.253, G
"Octadecenoic acid", 5.392, G
"Octadecadienoic acid", 3.134, G
"Octadecatrienoic acid", 0.204, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 5.393, G
"Polyunsaturated fatty acids", 3.338, G
"Vitamin B12", 0.00, UG
"Folate, food", 4.00, UG
"Tryptophan", 0.029, G
"Threonine", 0.066, G
"Methionine", 0.042, G
"Phenylalanine", 0.118, G
"Tyrosine", 0.072, G
"Vitamin C", 1.7, MG
"Thiamin", 0.148, MG
"Riboflavin", 0.107, MG
"Iron, Fe", 1.12, MG
"Magnesium, Mg", 7.00, MG
"Phosphorus, P", 28.00, MG
"Sodium, Na", 211.00, MG
"Copper, Cu", 0.053, MG
"Manganese, Mn", 0.185, MG
"Vitamin A", 58.00, IU
"Ash", 0.80, G
"Saturated fatty acids", 3.050, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.058, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.001, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Alanine", 0.077, G
"Glutamic acid", 0.786, G
"Glycine", 0.086, G
"Proline", 0.271, G
"Cholesterol", 0.00, MG
"Selenium, Se", 7.8, UG
"Folate", 24.00, UG
# Downloaded from https://www.nutritionvalue.org 
