charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pie, prepared from recipe, pecan
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 412.00, KCAL
"Fat", 22.20, G
"Protein", 4.90, G
"Carbohydrate", 52.20, G
"Vitamin A", 357.00, IU
"Retinol", 77.00, UG
"Vitamin A, RAE", 82.00, UG
"Carotene, beta", 60.00, UG
"Folate, DFE", 34.00, UG
"Folic acid", 12.00, UG
"Water", 19.50, G
"Calcium, Ca", 32.00, MG
"Potassium, K", 133.00, MG
"Zinc, Zn", 1.02, MG
"Niacin", 0.847, MG
"Pantothenic acid", 0.479, MG
"Vitamin B6", 0.060, MG
"Isoleucine", 0.223, G
"Leucine", 0.372, G
"Lysine", 0.248, G
"Cystine", 0.111, G
"Valine", 0.255, G
"Arginine", 0.325, G
"Histidine", 0.116, G
"Aspartic acid", 0.392, G
"Serine", 0.301, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.001, G
"Hexadecanoic acid", 2.549, G
"Octadecanoic acid", 1.382, G
"Octadecenoic acid", 11.018, G
"Octadecadienoic acid", 5.402, G
"Octadecatrienoic acid", 0.271, G
"Eicosatetraenoic acid", 0.029, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.063, G
"Docosenoic acid", 0.001, G
"Monounsaturated fatty acids", 11.181, G
"Polyunsaturated fatty acids", 5.710, G
"Iron, Fe", 1.48, MG
"Magnesium, Mg", 26.00, MG
"Phosphorus, P", 94.00, MG
"Sodium, Na", 262.00, MG
"Copper, Cu", 0.211, MG
"Manganese, Mn", 0.712, MG
"Ash", 1.10, G
"Vitamin C", 0.2, MG
"Thiamin", 0.188, MG
"Riboflavin", 0.180, MG
"Vitamin B12", 0.17, UG
"Folate, food", 14.00, UG
"Tryptophan", 0.069, G
"Threonine", 0.189, G
"Methionine", 0.125, G
"Phenylalanine", 0.250, G
"Tyrosine", 0.178, G
"Alanine", 0.223, G
"Glutamic acid", 0.972, G
"Glycine", 0.176, G
"Proline", 0.305, G
"Cholesterol", 87.00, MG
"Saturated fatty acids", 3.989, G
"Octanoic acid", 0.001, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.047, G
"Docosahexaenoic n-3 acid (DHA)", 0.01, G
"Hexadecenoic acid", 0.099, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Selenium, Se", 12.0, UG
"Folate", 26.00, UG
# Downloaded from https://www.nutritionvalue.org 
