charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Plums, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 46.00, KCAL
"Fat", 0.28, G
"Protein", 0.70, G
"Carbohydrate", 11.42, G
"Folic acid", 0.00, UG
"Folate, DFE", 5.00, UG
"Choline", 1.9, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.014, G
"Octadecanoic acid", 0.003, G
"Octadecenoic acid", 0.132, G
"Octadecadienoic acid", 0.044, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.134, G
"Polyunsaturated fatty acids", 0.044, G
"Folate, food", 5.00, UG
"Saturated fatty acids", 0.017, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.002, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Tocotrienol, delta", 0.00, MG
"Starch", 0.00, G
"Sodium, Na", 0.00, MG
"Potassium, K", 157.00, MG
"Fluoride, F", 2.0, UG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Vitamin B12", 0.00, UG
"Phytosterols", 7.00, MG
"Vitamin C", 9.5, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 35.00, UG
"Lycopene", 0.00, UG
"Tocopherol, delta", 0.00, MG
"Tocotrienol, gamma", 0.01, MG
"Thiamin", 0.028, MG
"Riboflavin", 0.026, MG
"Folate", 5.00, UG
"Tryptophan", 0.009, G
"Threonine", 0.010, G
"Methionine", 0.008, G
"Phenylalanine", 0.014, G
"Tyrosine", 0.008, G
"Alanine", 0.028, G
"Glutamic acid", 0.035, G
"Glycine", 0.009, G
"Proline", 0.027, G
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 6.4, UG
"Ash", 0.37, G
"Fructose", 3.07, G
"Lactose", 0.00, G
"Galactose", 0.14, G
"Fiber", 1.4, G
"Iron, Fe", 0.17, MG
"Magnesium, Mg", 7.00, MG
"Phosphorus, P", 16.00, MG
"Vitamin A, RAE", 17.00, UG
"Carotene, beta", 190.00, UG
"Carotene, alpha", 0.00, UG
"Copper, Cu", 0.057, MG
"Manganese, Mn", 0.052, MG
"Vitamin A", 345.00, IU
"Sucrose", 1.57, G
"Glucose (dextrose)", 5.07, G
"Maltose", 0.08, G
"Water", 87.23, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 9.92, G
"Calcium, Ca", 6.00, MG
"Zinc, Zn", 0.10, MG
"Lutein + zeaxanthin", 73.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.08, MG
"Tocotrienol, alpha", 0.04, MG
"Tocotrienol, beta", 0.00, MG
"Niacin", 0.417, MG
"Pantothenic acid", 0.135, MG
"Vitamin B6", 0.029, MG
"Selenium, Se", 0.0, UG
"Vitamin E", 0.26, MG
"Isoleucine", 0.014, G
"Leucine", 0.015, G
"Lysine", 0.016, G
"Cystine", 0.002, G
"Valine", 0.016, G
"Arginine", 0.009, G
"Histidine", 0.009, G
"Aspartic acid", 0.352, G
"Serine", 0.023, G
"Tocopherol, alpha", 0.26, MG
# Downloaded from https://www.nutritionvalue.org 
