charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pork, raw, ground, fresh
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 263.00, KCAL
"Fat", 21.19, G
"Protein", 16.88, G
"Carbohydrate", 0.00, G
"Fiber", 0.0, G
"Folic acid", 0.00, UG
"Folate, DFE", 5.00, UG
"Retinol", 2.00, UG
"Vitamin A, RAE", 2.00, UG
"Vitamin C", 0.7, MG
"Thiamin", 0.732, MG
"Riboflavin", 0.235, MG
"Folate", 5.00, UG
"Vitamin B12", 0.70, UG
"Folate, food", 5.00, UG
"Tryptophan", 0.214, G
"Threonine", 0.771, G
"Methionine", 0.447, G
"Phenylalanine", 0.674, G
"Iron, Fe", 0.88, MG
"Magnesium, Mg", 19.00, MG
"Phosphorus, P", 175.00, MG
"Sodium, Na", 56.00, MG
"Copper, Cu", 0.045, MG
"Manganese, Mn", 0.010, MG
"Vitamin A", 7.00, IU
"Ash", 0.87, G
"Tyrosine", 0.588, G
"Alanine", 0.983, G
"Glutamic acid", 2.642, G
"Glycine", 0.802, G
"Proline", 0.678, G
"Cholesterol", 72.00, MG
"Saturated fatty acids", 7.870, G
"Dodecanoic acid", 0.020, G
"Tetradecanoic acid", 0.330, G
"Hexadecenoic acid", 0.650, G
"Water", 61.06, G
"Calcium, Ca", 14.00, MG
"Potassium, K", 287.00, MG
"Zinc, Zn", 2.20, MG
"Selenium, Se", 24.6, UG
"Niacin", 4.338, MG
"Pantothenic acid", 0.668, MG
"Vitamin B6", 0.383, MG
"Isoleucine", 0.790, G
"Leucine", 1.354, G
"Lysine", 1.518, G
"Cystine", 0.215, G
"Valine", 0.916, G
"Arginine", 1.049, G
"Histidine", 0.674, G
"Aspartic acid", 1.566, G
"Serine", 0.697, G
"Decanoic acid", 0.010, G
"Hexadecanoic acid", 4.770, G
"Octadecanoic acid", 2.550, G
"Octadecenoic acid", 8.500, G
"Octadecadienoic acid", 1.670, G
"Octadecatrienoic acid", 0.070, G
"Eicosatetraenoic acid", 0.080, G
"Eicosenoic acid", 0.160, G
"Monounsaturated fatty acids", 9.440, G
"Polyunsaturated fatty acids", 1.910, G
# Downloaded from https://www.nutritionvalue.org 
