charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pork, unprepared, bacon, cured
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 393.00, KCAL
"Fat", 37.13, G
"Protein", 13.66, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin C", 0.0, MG
"Tocotrienol, alpha", 0.03, MG
"Tocotrienol, delta", 0.00, MG
"Pentadecenoic acid", 0.000, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)", 0.22, G
"Eicosadienoic n-3 acid", 0.029, G
"Trans-octadecatrienoic acid", 0.001, G
"Docosatetraenoic acid", 0.039, G
"Dodecanoic acid", 0.028, G
"Tetradecanoic acid", 0.466, G
"Docosapentaenoic n-3 acid (DPA)", 0.02, G
"Heptadecanoic acid", 0.094, G
"Trans-hexadecenoic acid", 0.007, G
"Tetracosenoic cis acid", 0.001, G
"Cis-octadecenoic acid", 14.600, G
"Cis,cis-octadecadienoic n-6 acid", 4.999, G
"Docosenoic cis acid", 0.010, G
"Heptadecenoic acid", 0.086, G
"Fatty acids, total trans-monoenoic", 0.113, G
"Docosanoic acid", 0.009, G
"Tetradecenoic acid", 0.008, G
"Hexadecenoic acid", 0.824, G
"Ash", 2.59, G
"Iron, Fe", 0.38, MG
"Magnesium, Mg", 13.00, MG
"Phosphorus, P", 166.00, MG
"Sodium, Na", 751.00, MG
"Copper, Cu", 0.046, MG
"Manganese, Mn", 0.012, MG
"Fatty acids, total trans", 0.147, G
"Saturated fatty acids", 12.615, G
"Octanoic acid", 0.004, G
"Trans-octadecadienoic acid", 0.034, G
"Octadecadienoic CLAs acid", 0.046, G
"Cis,cis-eicosadienoic n-6 acid", 0.209, G
"Cis-hexadecenoic acid", 0.816, G
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.004, G
"Eicosadienoic acid", 0.065, G
"Fatty acids, total trans-polyenoic", 0.034, G
"Eicosadienoic n-6 acid", 0.036, G
"Octadecenoic acid", 14.706, G
"Octadecadienoic acid", 5.078, G
"Octadecatrienoic acid", 0.221, G
"Eicosatetraenoic acid", 0.111, G
"Octadecatetraenoic acid", 0.001, G
"Eicosenoic acid", 0.288, G
"Docosenoic acid", 0.010, G
"Monounsaturated fatty acids", 15.922, G
"Polyunsaturated fatty acids", 5.757, G
"Pentadecanoic acid", 0.016, G
"Trans-octadecenoic acid", 0.105, G
"Butanoic acid", 0.005, G
"Hexanoic acid", 0.001, G
"Decanoic acid", 0.033, G
"Hexadecanoic acid", 7.936, G
"Octadecanoic acid", 3.950, G
"Eicosanoic acid", 0.070, G
"Calcium, Ca", 6.00, MG
"Potassium, K", 201.00, MG
"Zinc, Zn", 1.14, MG
"Sucrose", 0.00, G
"Glucose (dextrose)", 0.35, G
"Water", 46.74, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Tetracosanoic acid", 0.002, G
"Docosahexaenoic n-3 acid (DHA)", 0.01, G
"Cholesterol", 66.00, MG
"Fructose", 0.00, G
"Lactose", 0.00, G
"Galactose", 0.00, G
"Tocopherol, delta", 0.01, MG
"Tocotrienol, gamma", 0.05, MG
"Vitamin D3", 0.40, UG
"Vitamin D", 0.40, UG
"Thiamin", 0.276, MG
"Riboflavin", 0.081, MG
"Folate", 0.00, UG
"Vitamin B12", 0.50, UG
"Vitamin K", 0.0, UG
"Folate, food", 0.00, UG
"Docosenoic trans acid", 0.000, G
"Maltose", 0.00, G
"Selenium, Se", 20.1, UG
"Vitamin E", 0.43, MG
"Vitamin D (D2 + D3), International Units", 16.00, IU
"Tocopherol, beta", 1.01, MG
"Tocopherol, gamma", 0.65, MG
"Tocotrienol, beta", 0.02, MG
"Niacin", 4.022, MG
"Pantothenic acid", 0.555, MG
"Vitamin B6", 0.266, MG
"Choline", 47.8, MG
"Folate, DFE", 0.00, UG
"Betaine", 3.7, MG
"Vitamin A, RAE", 11.00, UG
"Vitamin A", 37.00, IU
"Retinol", 11.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Sugars", 0.35, G
"Fiber", 0.0, G
"Tocopherol, alpha", 0.43, MG
# Downloaded from https://www.nutritionvalue.org 
