charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Potatoes, baked, flesh and skin, Russet
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 95.00, KCAL
"Fat", 0.13, G
"Protein", 2.63, G
"Carbohydrate", 21.44, G
"Fluoride, F", 45.2, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Betaine", 0.2, MG
"Sodium, Na", 14.00, MG
"Folate", 26.00, UG
"Selenium, Se", 0.5, UG
"Niacin", 1.348, MG
"Pantothenic acid", 0.380, MG
"Vitamin B6", 0.354, MG
"Calcium, Ca", 18.00, MG
"Potassium, K", 550.00, MG
"Zinc, Zn", 0.35, MG
"Sucrose", 0.39, G
"Glucose (dextrose)", 0.37, G
"Maltose", 0.00, G
"Water", 74.45, G
"Ash", 1.35, G
"Starch", 17.45, G
"Cholesterol", 0.00, MG
"Thiamin", 0.067, MG
"Riboflavin", 0.048, MG
"Copper, Cu", 0.107, MG
"Manganese, Mn", 0.228, MG
"Galactose", 0.00, G
"Fiber", 2.3, G
"Iron, Fe", 1.07, MG
"Magnesium, Mg", 30.00, MG
"Phosphorus, P", 71.00, MG
"Fructose", 0.32, G
"Lactose", 0.00, G
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 2.0, UG
"Folic acid", 0.00, UG
"Retinol", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.08, G
"Lutein + zeaxanthin", 19.00, UG
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Folate, DFE", 26.00, UG
"Vitamin E", 0.07, MG
"Choline", 15.0, MG
"Isoleucine", 0.085, G
"Leucine", 0.125, G
"Lysine", 0.137, G
"Cystine", 0.031, G
"Valine", 0.131, G
"Arginine", 0.130, G
"Histidine", 0.044, G
"Aspartic acid", 0.615, G
"Serine", 0.095, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.001, G
"Hexadecanoic acid", 0.021, G
"Octadecanoic acid", 0.005, G
"Octadecenoic acid", 0.001, G
"Octadecadienoic acid", 0.041, G
"Octadecatrienoic acid", 0.013, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.003, G
"Vitamin B12", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.004, G
"Tetradecanoic acid", 0.001, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.001, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Vitamin A, RAE", 1.00, UG
"Carotene, beta", 6.00, UG
"Tocopherol, delta", 0.00, MG
"Vitamin C", 8.3, MG
"Folate, food", 26.00, UG
"Tryptophan", 0.027, G
"Threonine", 0.086, G
"Methionine", 0.041, G
"Phenylalanine", 0.104, G
"Tyrosine", 0.062, G
"Alanine", 0.080, G
"Glutamic acid", 0.450, G
"Glycine", 0.073, G
"Proline", 0.081, G
"Vitamin A", 10.00, IU
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.032, G
"Polyunsaturated fatty acids", 0.054, G
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.07, MG
# Downloaded from https://www.nutritionvalue.org 
