charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Potatoes, raw, flesh and skin, russet
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 79.00, KCAL
"Fat", 0.08, G
"Protein", 2.14, G
"Carbohydrate", 18.07, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin C", 5.7, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Betaine", 0.2, MG
"Choline", 12.6, MG
"Folic acid", 0.00, UG
"Ash", 1.13, G
"Starch", 15.86, G
"Fructose", 0.23, G
"Lactose", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Phytosterols", 5.00, MG
"Tocopherol, delta", 0.00, MG
"Thiamin", 0.082, MG
"Riboflavin", 0.033, MG
"Folate", 14.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K (Dihydrophylloquinone)", 0.00, UG
"Vitamin K", 1.8, UG
"Cholesterol", 0.00, MG
"Galactose", 0.00, G
"Iron, Fe", 0.86, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 55.00, MG
"Sodium, Na", 5.00, MG
"Copper, Cu", 0.103, MG
"Manganese, Mn", 0.157, MG
"Octadecatrienoic acid", 0.010, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Tocopherol, beta", 0.00, MG
"Tocopherol, gamma", 0.00, MG
"Niacin", 1.035, MG
"Pantothenic acid", 0.301, MG
"Vitamin B6", 0.345, MG
"Sucrose", 0.13, G
"Glucose (dextrose)", 0.25, G
"Maltose", 0.00, G
"Water", 78.58, G
"Calcium, Ca", 13.00, MG
"Potassium, K", 417.00, MG
"Zinc, Zn", 0.29, MG
"Selenium, Se", 0.4, UG
"Vitamin E", 0.01, MG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Retinol", 0.00, UG
"Fiber", 1.3, G
"Sugars", 0.62, G
"Hexadecenoic acid", 0.001, G
"Vitamin A, RAE", 0.00, UG
"Vitamin A", 1.00, IU
"Saturated fatty acids", 0.026, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.003, G
"Tetradecanoic acid", 0.001, G
"Folate, food", 14.00, UG
"Lutein + zeaxanthin", 5.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.001, G
"Hexadecanoic acid", 0.016, G
"Octadecanoic acid", 0.004, G
"Octadecenoic acid", 0.001, G
"Octadecadienoic acid", 0.032, G
"Folate, DFE", 14.00, UG
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.002, G
"Polyunsaturated fatty acids", 0.043, G
"Fatty acids, total trans", 0.000, G
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.01, MG
# Downloaded from https://www.nutritionvalue.org 
