charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Potatoes, skin, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 58.00, KCAL
"Fat", 0.10, G
"Protein", 2.57, G
"Carbohydrate", 12.44, G
"Folic acid", 0.00, UG
"Folate, DFE", 17.00, UG
"Fiber", 2.5, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.026, G
"Dodecanoic acid", 0.003, G
"Tetradecanoic acid", 0.001, G
"Hexadecenoic acid", 0.001, G
"Ash", 1.61, G
"Iron, Fe", 3.24, MG
"Magnesium, Mg", 23.00, MG
"Phosphorus, P", 38.00, MG
"Sodium, Na", 10.00, MG
"Copper, Cu", 0.423, MG
"Manganese, Mn", 0.602, MG
"Vitamin A", 0.00, IU
"Vitamin C", 11.4, MG
"Thiamin", 0.021, MG
"Riboflavin", 0.038, MG
"Folate", 17.00, UG
"Vitamin B12", 0.00, UG
"Water", 83.29, G
"Calcium, Ca", 30.00, MG
"Potassium, K", 413.00, MG
"Zinc, Zn", 0.35, MG
"Decanoic acid", 0.001, G
"Hexadecanoic acid", 0.016, G
"Octadecanoic acid", 0.004, G
"Octadecenoic acid", 0.001, G
"Octadecadienoic acid", 0.032, G
"Octadecatrienoic acid", 0.010, G
"Monounsaturated fatty acids", 0.002, G
"Polyunsaturated fatty acids", 0.043, G
"Niacin", 1.033, MG
"Pantothenic acid", 0.302, MG
"Vitamin B6", 0.239, MG
"Vitamin D", 0.00, UG
"Folate, food", 17.00, UG
"Selenium, Se", 0.3, UG
# Downloaded from https://www.nutritionvalue.org 
