charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Prune puree
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 257.00, KCAL
"Fat", 0.20, G
"Protein", 2.10, G
"Carbohydrate", 65.10, G
"Ash", 2.60, G
"Fructose", 13.87, G
"Vitamin C", 4.3, MG
"Thiamin", 0.040, MG
"Cholesterol", 0.00, MG
"Fiber", 3.3, G
"Iron, Fe", 2.80, MG
"Phosphorus, P", 72.00, MG
"Sodium, Na", 23.00, MG
"Vitamin A", 2000.00, IU
"Glucose (dextrose)", 22.27, G
"Water", 30.00, G
"Sugars", 39.00, G
"Calcium, Ca", 31.00, MG
"Potassium, K", 852.00, MG
"Niacin", 2.500, MG
"Pantothenic acid", 0.430, MG
"Saturated fatty acids", 0.016, G
"Retinol", 0.00, UG
"Vitamin A, RAE", 100.00, UG
"Fatty acids, total trans", 0.000, G
# Downloaded from https://www.nutritionvalue.org 
