charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Puddings, prepared with 2% milk, dry mix, rice
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 111.00, KCAL
"Fat", 1.63, G
"Protein", 3.29, G
"Carbohydrate", 20.81, G
"Vitamin D", 0.80, UG
"Ash", 0.82, G
"Alcohol, ethyl", 0.0, G
"Vitamin C", 0.7, MG
"Thiamin", 0.075, MG
"Riboflavin", 0.141, MG
"Folate", 4.00, UG
"Vitamin B12", 0.24, UG
"Folate, food", 4.00, UG
"Tryptophan", 0.039, G
"Threonine", 0.126, G
"Methionine", 0.070, G
"Phenylalanine", 0.135, G
"Tyrosine", 0.135, G
"Alanine", 0.096, G
"Glutamic acid", 0.584, G
"Glycine", 0.059, G
"Proline", 0.271, G
"Cholesterol", 6.00, MG
"Saturated fatty acids", 0.967, G
"Octanoic acid", 0.018, G
"Dodecanoic acid", 0.045, G
"Tetradecanoic acid", 0.162, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.036, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Fiber", 0.1, G
"Iron, Fe", 0.37, MG
"Magnesium, Mg", 13.00, MG
"Phosphorus, P", 87.00, MG
"Sodium, Na", 109.00, MG
"Copper, Cu", 0.018, MG
"Manganese, Mn", 0.057, MG
"Vitamin A", 172.00, IU
"Retinol", 45.00, UG
"Water", 73.43, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Calcium, Ca", 105.00, MG
"Potassium, K", 130.00, MG
"Zinc, Zn", 0.38, MG
"Selenium, Se", 1.9, UG
"Vitamin D (D2 + D3), International Units", 34.00, IU
"Niacin", 0.443, MG
"Pantothenic acid", 0.288, MG
"Vitamin B6", 0.035, MG
"Folic acid", 0.00, UG
"Isoleucine", 0.169, G
"Leucine", 0.273, G
"Lysine", 0.221, G
"Cystine", 0.026, G
"Valine", 0.187, G
"Arginine", 0.101, G
"Histidine", 0.075, G
"Aspartic acid", 0.212, G
"Serine", 0.152, G
"Butanoic acid", 0.052, G
"Hexanoic acid", 0.031, G
"Decanoic acid", 0.040, G
"Hexadecanoic acid", 0.423, G
"Octadecanoic acid", 0.195, G
"Octadecenoic acid", 0.405, G
"Octadecadienoic acid", 0.036, G
"Octadecatrienoic acid", 0.023, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.441, G
"Polyunsaturated fatty acids", 0.060, G
"Vitamin A, RAE", 46.00, UG
"Carotene, beta", 10.00, UG
"Folate, DFE", 4.00, UG
# Downloaded from https://www.nutritionvalue.org 
