charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Pumpkin, raw
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 26.00, KCAL
"Fat", 0.10, G
"Protein", 1.00, G
"Carbohydrate", 6.50, G
"Folic acid", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 1.06, MG
"Lutein + zeaxanthin", 1500.00, UG
"Vitamin K", 1.1, UG
"Lycopene", 0.00, UG
"Carotene, beta", 3100.00, UG
"Fiber", 0.5, G
"Octanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folate, food", 16.00, UG
"Folate, DFE", 16.00, UG
"Choline", 8.2, MG
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin A, RAE", 426.00, UG
"Vitamin A", 8513.00, IU
"Carotene, alpha", 4016.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Sugars", 2.76, G
"Calcium, Ca", 21.00, MG
"Potassium, K", 340.00, MG
"Zinc, Zn", 0.32, MG
"Water", 91.60, G
"Isoleucine", 0.031, G
"Leucine", 0.046, G
"Lysine", 0.054, G
"Cystine", 0.003, G
"Valine", 0.035, G
"Arginine", 0.054, G
"Histidine", 0.016, G
"Aspartic acid", 0.102, G
"Serine", 0.044, G
"Hexadecanoic acid", 0.037, G
"Octadecanoic acid", 0.003, G
"Octadecenoic acid", 0.006, G
"Octadecadienoic acid", 0.002, G
"Octadecatrienoic acid", 0.003, G
"Monounsaturated fatty acids", 0.013, G
"Polyunsaturated fatty acids", 0.005, G
"Niacin", 0.600, MG
"Pantothenic acid", 0.298, MG
"Vitamin B6", 0.061, MG
"Ash", 0.80, G
"Iron, Fe", 0.80, MG
"Magnesium, Mg", 12.00, MG
"Phosphorus, P", 44.00, MG
"Sodium, Na", 1.00, MG
"Copper, Cu", 0.127, MG
"Manganese, Mn", 0.125, MG
"Cholesterol", 0.00, MG
"Vitamin C", 9.0, MG
"Thiamin", 0.050, MG
"Riboflavin", 0.110, MG
"Folate", 16.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.012, G
"Threonine", 0.029, G
"Methionine", 0.011, G
"Phenylalanine", 0.032, G
"Tyrosine", 0.042, G
"Alanine", 0.028, G
"Glutamic acid", 0.184, G
"Glycine", 0.027, G
"Proline", 0.026, G
"Saturated fatty acids", 0.052, G
"Dodecanoic acid", 0.001, G
"Tetradecanoic acid", 0.006, G
"Phytosterols", 12.00, MG
"Hexadecenoic acid", 0.006, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.3, UG
"Tocopherol, alpha", 1.06, MG
# Downloaded from https://www.nutritionvalue.org 
