charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Radishes, dried, oriental
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 271.00, KCAL
"Fat", 0.72, G
"Protein", 7.90, G
"Carbohydrate", 63.37, G
"Folic acid", 0.00, UG
"Folate, DFE", 295.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Iron, Fe", 6.73, MG
"Magnesium, Mg", 170.00, MG
"Phosphorus, P", 204.00, MG
"Sodium, Na", 278.00, MG
"Copper, Cu", 1.631, MG
"Manganese, Mn", 0.539, MG
"Vitamin A", 0.00, IU
"Ash", 8.33, G
"Tryptophan", 0.043, G
"Threonine", 0.326, G
"Methionine", 0.075, G
"Phenylalanine", 0.262, G
"Tyrosine", 0.150, G
"Alanine", 0.248, G
"Glutamic acid", 1.492, G
"Glycine", 0.248, G
"Proline", 0.202, G
"Cholesterol", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.270, MG
"Riboflavin", 0.680, MG
"Folate", 295.00, UG
"Vitamin B12", 0.00, UG
"Saturated fatty acids", 0.218, G
"Tetradecanoic acid", 0.001, G
"Hexadecenoic acid", 0.002, G
"Niacin", 3.400, MG
"Pantothenic acid", 1.854, MG
"Vitamin B6", 0.618, MG
"Calcium, Ca", 629.00, MG
"Potassium, K", 3494.00, MG
"Zinc, Zn", 2.13, MG
"Water", 19.68, G
"Isoleucine", 0.344, G
"Leucine", 0.413, G
"Lysine", 0.393, G
"Cystine", 0.062, G
"Monounsaturated fatty acids", 0.119, G
"Polyunsaturated fatty acids", 0.325, G
"Valine", 0.365, G
"Arginine", 0.456, G
"Histidine", 0.149, G
"Aspartic acid", 0.538, G
"Serine", 0.240, G
"Hexadecanoic acid", 0.189, G
"Octadecanoic acid", 0.027, G
"Octadecenoic acid", 0.117, G
"Octadecadienoic acid", 0.117, G
"Octadecatrienoic acid", 0.206, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Vitamin K", 4.5, UG
"Fiber", 23.9, G
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Vitamin E", 0.01, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 37.32, G
"Choline", 109.7, MG
"Lutein + zeaxanthin", 0.00, UG
"Vitamin D", 0.00, UG
"Folate, food", 295.00, UG
"Selenium, Se", 0.7, UG
"Tocopherol, alpha", 0.01, MG
# Downloaded from https://www.nutritionvalue.org 
